Time Stamp,CL_Curicó_UTALCA,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2021-12-27 22:45:21.240000,49.963432,49.962518,49.963832,49.96326066666666,165,2325
2021-12-27 22:45:21.260000,49.963557,49.969537,49.963472,49.965522,165,2325
2021-12-27 22:45:21.280000,49.96339,49.961398,49.961458,49.962082,165,2325
2021-12-27 22:45:21.300000,49.963554,49.964212,49.961703,49.96315633333334,165,2325
2021-12-27 22:45:21.320000,49.963593,49.967014,49.963106,49.96457100000001,165,2325
2021-12-27 22:45:21.340000,49.963001,49.966718,49.963852,49.96452366666667,165,2325
2021-12-27 22:45:21.360000,49.962626,49.965315,49.965235,49.964392000000004,165,2325
2021-12-27 22:45:21.380000,49.962735,49.96562,49.964819,49.96439133333334,165,2325
2021-12-27 22:45:21.400000,49.962696,49.959634,49.962822,49.96171733333333,165,2325
2021-12-27 22:45:21.420000,49.962772,49.965079,49.962257,49.96336933333333,165,2325
2021-12-27 22:45:21.440000,49.962913,49.961417,49.962316,49.962215333333326,165,2325
2021-12-27 22:45:21.460000,49.962991,49.962935,49.962676,49.96286733333333,165,2325
2021-12-27 22:45:21.480000,49.962916,49.963323,49.963309,49.963182666666675,165,2325
2021-12-27 22:45:21.500000,49.962389,49.962047,49.96259,49.962342,165,2325
2021-12-27 22:45:21.520000,49.961656,49.959176,49.961774,49.96086866666666,165,2325
2021-12-27 22:45:21.540000,49.961238,49.963805,49.961761,49.962268,165,2325
2021-12-27 22:45:21.560000,49.961,49.960241,49.961007,49.96074933333333,165,2325
2021-12-27 22:45:21.580000,49.961251,49.958333,49.959903,49.95982899999999,165,2325
2021-12-27 22:45:21.600000,49.962218,49.960843,49.960885,49.961315333333324,165,2325
2021-12-27 22:45:21.620000,49.961985,49.967102,49.961842,49.963643,165,2325
2021-12-27 22:45:21.640000,49.961151,49.959463,49.961682,49.960765333333335,165,2325
2021-12-27 22:45:21.660000,49.961114,49.962148,49.961786,49.96168266666666,165,2325
2021-12-27 22:45:21.680000,49.960798,49.959763,49.960524,49.960361666666664,165,2325
2021-12-27 22:45:21.700000,49.960363,49.956079,49.959637,49.958693000000004,165,2325
2021-12-27 22:45:21.720000,49.960561,49.963805,49.961586,49.961983999999994,165,2325
2021-12-27 22:45:21.740000,49.960743,49.960361,49.963218,49.96144066666667,165,2325
2021-12-27 22:45:21.760000,49.96018,49.965736,49.96196,49.962625333333335,165,2325
2021-12-27 22:45:21.780000,49.95982,49.958907,49.960183,49.959636666666675,165,2325
2021-12-27 22:45:21.800000,49.960143,49.961176,49.960833,49.96071733333334,165,2325
2021-12-27 22:45:21.820000,49.960499,49.963551,49.961349,49.96179966666667,165,2325
2021-12-27 22:45:21.840000,49.960248,49.958574,49.959755,49.95952566666667,165,2325
2021-12-27 22:45:21.860000,49.960292,49.954704,49.959847,49.958281,165,2325
2021-12-27 22:45:21.880000,49.960715,49.964482,49.961284,49.96216033333334,165,2325
2021-12-27 22:45:21.900000,49.960868,49.963981,49.961913,49.962254,165,2325
2021-12-27 22:45:21.920000,49.960739,49.964472,49.962078,49.96242966666666,165,2325
2021-12-27 22:45:21.940000,49.960382,49.95851,49.961326,49.96007266666667,165,2325
2021-12-27 22:45:21.960000,49.959959,49.962768,49.959581,49.96076933333333,165,2325
2021-12-27 22:45:21.980000,49.960354,49.958028,49.959066,49.959149333333336,165,2325
2021-12-27 22:45:22.000000,49.961106,49.962935,49.959704,49.96124833333334,165,2325
2021-12-27 22:45:22.020000,49.960762,49.957509,49.959146,49.959139,165,2325
2021-12-27 22:45:22.040000,49.960566,49.959112,49.959205,49.95962766666667,165,2325
2021-12-27 22:45:22.060000,49.960656,49.96043,49.960036,49.960374,165,2325
2021-12-27 22:45:22.080000,49.960417,49.95894,49.960089,49.95981533333333,165,2325
2021-12-27 22:45:22.100000,49.960474,49.960639,49.960004,49.96037233333333,165,2325
2021-12-27 22:45:22.120000,49.960212,49.960389,49.958986,49.95986233333334,165,2325
2021-12-27 22:45:22.140000,49.959447,49.956972,49.957418,49.95794566666666,165,2325
2021-12-27 22:45:22.160000,49.959953,49.957111,49.959445,49.95883633333333,165,2325
2021-12-27 22:45:22.180000,49.961207,49.963481,49.962164,49.962284000000004,165,2325
2021-12-27 22:45:22.200000,49.961303,49.958046,49.960594,49.959981000000006,165,2325
2021-12-27 22:45:22.220000,49.960646,49.963065,49.95839,49.960700333333335,165,2325
2021-12-27 22:45:22.240000,49.960795,49.957375,49.959128,49.959099333333334,165,2325
2021-12-27 22:45:22.260000,49.961459,49.962593,49.961376,49.96180933333333,165,2325
2021-12-27 22:45:22.280000,49.960677,49.956912,49.961457,49.959681999999994,165,2325
2021-12-27 22:45:22.300000,49.958869,49.961296,49.959503,49.95988933333333,165,2325
2021-12-27 22:45:22.320000,49.958277,49.956574,49.95869,49.957846999999994,165,2325
2021-12-27 22:45:22.340000,49.958806,49.959787,49.958592,49.95906166666666,165,2325
2021-12-27 22:45:22.360000,49.959613,49.95763,49.958885,49.95870933333333,165,2325
2021-12-27 22:45:22.380000,49.96014,49.960722,49.959373,49.960078333333335,165,2325
2021-12-27 22:45:22.400000,49.960108,49.959028,49.959026,49.95938733333333,165,2325
2021-12-27 22:45:22.420000,49.95975,49.958361,49.958587,49.958899333333335,165,2325
2021-12-27 22:45:22.440000,49.959175,49.960685,49.957557,49.959139,165,2325
2021-12-27 22:45:22.460000,49.958838,49.957037,49.957299,49.95772466666667,165,2325
2021-12-27 22:45:22.480000,49.958615,49.9585,49.959242,49.958785666666664,165,2325
