Time Stamp,CL_Concepción_UDEC,CIO,Potencia,Inicio
2021-10-13 19:05:31.780000,49.975663,49.975663,143,2610
2021-10-13 19:05:31.800000,49.975255,49.975255,143,2610
2021-10-13 19:05:31.820000,49.976221,49.976221,143,2610
2021-10-13 19:05:31.840000,49.976635,49.976635,143,2610
2021-10-13 19:05:31.860000,49.975452,49.975452,143,2610
2021-10-13 19:05:31.880000,49.974172,49.974172,143,2610
2021-10-13 19:05:31.900000,49.974247,49.974247,143,2610
2021-10-13 19:05:31.920000,49.975095,49.975095,143,2610
2021-10-13 19:05:31.940000,49.975556,49.975556,143,2610
2021-10-13 19:05:31.960000,49.975077,49.975077,143,2610
2021-10-13 19:05:31.980000,49.974806,49.974806,143,2610
2021-10-13 19:05:32.000000,49.975386,49.975386,143,2610
2021-10-13 19:05:32.020000,49.975376,49.975376,143,2610
2021-10-13 19:05:32.040000,49.974339,49.974339,143,2610
2021-10-13 19:05:32.060000,49.97428,49.97428,143,2610
2021-10-13 19:05:32.080000,49.974982,49.974982,143,2610
2021-10-13 19:05:32.100000,49.975039,49.975039,143,2610
2021-10-13 19:05:32.120000,49.974163,49.974163,143,2610
2021-10-13 19:05:32.140000,49.973928,49.973928,143,2610
2021-10-13 19:05:32.160000,49.973781,49.973781,143,2610
2021-10-13 19:05:32.180000,49.97352,49.97352,143,2610
2021-10-13 19:05:32.200000,49.973456,49.973456,143,2610
2021-10-13 19:05:32.220000,49.973595,49.973595,143,2610
2021-10-13 19:05:32.240000,49.97307,49.97307,143,2610
2021-10-13 19:05:32.260000,49.972092,49.972092,143,2610
2021-10-13 19:05:32.280000,49.971486,49.971486,143,2610
2021-10-13 19:05:32.300000,49.971073,49.971073,143,2610
2021-10-13 19:05:32.320000,49.97124,49.97124,143,2610
2021-10-13 19:05:32.340000,49.97174,49.97174,143,2610
2021-10-13 19:05:32.360000,49.971678,49.971678,143,2610
2021-10-13 19:05:32.380000,49.970999,49.970999,143,2610
2021-10-13 19:05:32.400000,49.97063,49.97063,143,2610
2021-10-13 19:05:32.420000,49.970229,49.970229,143,2610
2021-10-13 19:05:32.440000,49.969538,49.969538,143,2610
2021-10-13 19:05:32.460000,49.969363,49.969363,143,2610
2021-10-13 19:05:32.480000,49.969786,49.969786,143,2610
2021-10-13 19:05:32.500000,49.96974,49.96974,143,2610
2021-10-13 19:05:32.520000,49.969527,49.969527,143,2610
2021-10-13 19:05:32.540000,49.969007,49.969007,143,2610
2021-10-13 19:05:32.560000,49.968222,49.968222,143,2610
2021-10-13 19:05:32.580000,49.968113,49.968113,143,2610
2021-10-13 19:05:32.600000,49.968268,49.968268,143,2610
2021-10-13 19:05:32.620000,49.967569,49.967569,143,2610
2021-10-13 19:05:32.640000,49.967403,49.967403,143,2610
2021-10-13 19:05:32.660000,49.968172,49.968172,143,2610
2021-10-13 19:05:32.680000,49.968518,49.968518,143,2610
2021-10-13 19:05:32.700000,49.968059,49.968059,143,2610
2021-10-13 19:05:32.720000,49.967532,49.967532,143,2610
2021-10-13 19:05:32.740000,49.967352,49.967352,143,2610
2021-10-13 19:05:32.760000,49.967704,49.967704,143,2610
2021-10-13 19:05:32.780000,49.967199,49.967199,143,2610
2021-10-13 19:05:32.800000,49.966927,49.966927,143,2610
2021-10-13 19:05:32.820000,49.967944,49.967944,143,2610
2021-10-13 19:05:32.840000,49.967695,49.967695,143,2610
2021-10-13 19:05:32.860000,49.965956,49.965956,143,2610
2021-10-13 19:05:32.880000,49.965937,49.965937,143,2610
2021-10-13 19:05:32.900000,49.967459,49.967459,143,2610
2021-10-13 19:05:32.920000,49.968042,49.968042,143,2610
2021-10-13 19:05:32.940000,49.967603,49.967603,143,2610
2021-10-13 19:05:32.960000,49.967691,49.967691,143,2610
2021-10-13 19:05:32.980000,49.967834,49.967834,143,2610
2021-10-13 19:05:33.000000,49.967738,49.967738,143,2610
2021-10-13 19:05:33.020000,49.967548,49.967548,143,2610
2021-10-13 19:05:33.040000,49.967171,49.967171,143,2610
2021-10-13 19:05:33.060000,49.967439,49.967439,143,2610
2021-10-13 19:05:33.080000,49.967774,49.967774,143,2610
2021-10-13 19:05:33.100000,49.967537,49.967537,143,2610
2021-10-13 19:05:33.120000,49.967193,49.967193,143,2610
2021-10-13 19:05:33.140000,49.967352,49.967352,143,2610
2021-10-13 19:05:33.160000,49.967647,49.967647,143,2610
2021-10-13 19:05:33.180000,49.967386,49.967386,143,2610
