Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_USACH,CIO,Potencia,Inicio
2021-05-19 19:54:20.000000,50.076224,50.076576,50.077009,50.076603000000006,144,1785
2021-05-19 19:54:20.020000,50.076224,50.076576,50.077009,50.076603000000006,144,1785
2021-05-19 19:54:20.040000,50.077278,50.076887,50.076065,50.07674333333333,144,1785
2021-05-19 19:54:20.060000,50.077851,50.076521,50.075954,50.07677533333333,144,1785
2021-05-19 19:54:20.080000,50.076828,50.07583,50.075269,50.075975666666665,144,1785
2021-05-19 19:54:20.100000,50.075481,50.07557,50.076324,50.07579166666667,144,1785
2021-05-19 19:54:20.120000,50.074898,50.075666,50.077722,50.076095333333335,144,1785
2021-05-19 19:54:20.140000,50.074183,50.075582,50.078871,50.076212,144,1785
2021-05-19 19:54:20.160000,50.073408,50.075496,50.074879,50.07459433333333,144,1785
2021-05-19 19:54:20.180000,50.074082,50.075681,50.075287,50.07501666666667,144,1785
2021-05-19 19:54:20.200000,50.075328,50.075771,50.075157,50.07541866666667,144,1785
2021-05-19 19:54:20.220000,50.075329,50.075902,50.075435,50.075555333333334,144,1785
2021-05-19 19:54:20.240000,50.074496,50.076177,50.077759,50.076144,144,1785
2021-05-19 19:54:20.260000,50.07377,50.076023,50.075288,50.075027,144,1785
2021-05-19 19:54:20.280000,50.073432,50.075235,50.074055,50.07424066666666,144,1785
2021-05-19 19:54:20.300000,50.073184,50.074733,50.074546,50.07415433333333,144,1785
2021-05-19 19:54:20.320000,50.072499,50.074923,50.074889,50.074103666666666,144,1785
2021-05-19 19:54:20.340000,50.073148,50.075577,50.076944,50.075223,144,1785
2021-05-19 19:54:20.360000,50.075083,50.076164,50.075889,50.075712,144,1785
2021-05-19 19:54:20.380000,50.075691,50.07619,50.074611,50.07549733333334,144,1785
2021-05-19 19:54:20.400000,50.074687,50.075974,50.075444,50.07536833333333,144,1785
2021-05-19 19:54:20.420000,50.073606,50.075765,50.076385,50.075252,144,1785
2021-05-19 19:54:20.440000,50.073707,50.075447,50.079986,50.07638,144,1785
2021-05-19 19:54:20.460000,50.073874,50.074822,50.073361,50.074019,144,1785
2021-05-19 19:54:20.480000,50.073027,50.0743,50.073842,50.073723,144,1785
