Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Temuco_UFRO,CIO,Potencia,Inicio
2021-06-16 15:46:41.240000,49.939875,49.942121,49.943679,49.94189166666666,81,3195
2021-06-16 15:46:41.260000,49.940202,49.942725,49.945315,49.94274733333333,81,3195
2021-06-16 15:46:41.280000,49.941832,49.942584,49.944113,49.942843,81,3195
2021-06-16 15:46:41.300000,49.94298,49.942349,49.942264,49.942531,81,3195
2021-06-16 15:46:41.320000,49.943284,49.942262,49.941281,49.94227566666667,81,3195
2021-06-16 15:46:41.340000,49.943292,49.942847,49.940479,49.942206,81,3195
2021-06-16 15:46:41.360000,49.943168,49.943666,49.940532,49.94245533333333,81,3195
2021-06-16 15:46:41.380000,49.94237,49.943777,49.941195,49.94244733333333,81,3195
2021-06-16 15:46:41.400000,49.940833,49.943249,49.941748,49.941943333333334,81,3195
2021-06-16 15:46:41.420000,49.940912,49.942211,49.941606,49.94157633333333,81,3195
2021-06-16 15:46:41.440000,49.94301,49.941885,49.940108,49.94166766666667,81,3195
2021-06-16 15:46:41.460000,49.94307,49.942665,49.938681,49.941472,81,3195
2021-06-16 15:46:41.480000,49.941185,49.942864,49.939429,49.94115933333333,81,3195
2021-06-16 15:46:41.500000,49.940556,49.941724,49.940648,49.940976000000006,81,3195
2021-06-16 15:46:41.520000,49.942083,49.940881,49.941222,49.94139533333333,81,3195
2021-06-16 15:46:41.540000,49.942866,49.940943,49.941378,49.941729,81,3195
2021-06-16 15:46:41.560000,49.941132,49.941043,49.941664,49.941279666666674,81,3195
2021-06-16 15:46:41.580000,49.940158,49.941038,49.941157,49.94078433333333,81,3195
2021-06-16 15:46:41.600000,49.941527,49.941273,49.940873,49.94122433333334,81,3195
2021-06-16 15:46:41.620000,49.942767,49.941248,49.942168,49.942061,81,3195
2021-06-16 15:46:41.640000,49.942444,49.941587,49.943219,49.94241666666667,81,3195
2021-06-16 15:46:41.660000,49.941436,49.942162,49.942157,49.94191833333334,81,3195
2021-06-16 15:46:41.680000,49.940625,49.942171,49.939752,49.940849333333325,81,3195
2021-06-16 15:46:41.700000,49.940653,49.941412,49.938846,49.940303666666665,81,3195
2021-06-16 15:46:41.720000,49.940774,49.941075,49.940461,49.94076999999999,81,3195
2021-06-16 15:46:41.740000,49.937358,49.941709,49.94224,49.940435666666666,81,3195
