Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2021-11-07 04:10:20.000000,50.042031,50.042133,50.039162,50.041611,50.04123425,150,2190
2021-11-07 04:10:20.020000,50.042031,50.042133,50.039162,50.041611,50.04123425,150,2190
2021-11-07 04:10:20.040000,50.041819,50.041392,50.04178,50.040895,50.04147150000001,150,2190
2021-11-07 04:10:20.060000,50.041106,50.040586,50.04087,50.040574,50.040784,150,2190
2021-11-07 04:10:20.080000,50.040644,50.040428,50.041075,50.040333,50.040620000000004,150,2190
2021-11-07 04:10:20.100000,50.040362,50.040414,50.040557,50.040208,50.04038525,150,2190
2021-11-07 04:10:20.120000,50.040065,50.039945,50.039997,50.040293,50.040074999999995,150,2190
2021-11-07 04:10:20.140000,50.039765,50.039224,50.041678,50.040369,50.040259,150,2190
2021-11-07 04:10:20.160000,50.040038,50.03955,50.039717,50.040153,50.0398645,150,2190
2021-11-07 04:10:20.180000,50.040786,50.040471,50.040586,50.039867,50.04042749999999,150,2190
2021-11-07 04:10:20.200000,50.040582,50.040968,50.039983,50.040104,50.040409249999996,150,2190
2021-11-07 04:10:20.220000,50.039969,50.040722,50.041508,50.040241,50.04061,150,2190
2021-11-07 04:10:20.240000,50.04028,50.040309,50.039042,50.039972,50.03990075,150,2190
2021-11-07 04:10:20.260000,50.040499,50.040146,50.040841,50.039967,50.04036325,150,2190
2021-11-07 04:10:20.280000,50.040539,50.040119,50.039286,50.040415,50.04008975,150,2190
2021-11-07 04:10:20.300000,50.040584,50.039943,50.041941,50.040702,50.0407925,150,2190
2021-11-07 04:10:20.320000,50.040435,50.040254,50.037232,50.040619,50.039635000000004,150,2190
2021-11-07 04:10:20.340000,50.041139,50.040881,50.03943,50.040483,50.04048325,150,2190
2021-11-07 04:10:20.360000,50.042231,50.04137,50.038907,50.040653,50.04079025,150,2190
2021-11-07 04:10:20.380000,50.041944,50.040938,50.043324,50.041125,50.04183275,150,2190
2021-11-07 04:10:20.400000,50.04056,50.040042,50.040292,50.040885,50.04044475,150,2190
2021-11-07 04:10:20.420000,50.039869,50.040035,50.041101,50.040397,50.0403505,150,2190
2021-11-07 04:10:20.440000,50.039897,50.040854,50.038056,50.040475,50.039820500000005,150,2190
2021-11-07 04:10:20.460000,50.039642,50.04088,50.042088,50.040402,50.040753,150,2190
2021-11-07 04:10:20.480000,50.039768,50.040116,50.040718,50.040123,50.040181249999996,150,2190
2021-11-07 04:10:20.500000,50.0407,50.039607,50.039856,50.040178,50.04008525,150,2190
2021-11-07 04:10:20.520000,50.041431,50.039843,50.039588,50.040454,50.040329,150,2190
2021-11-07 04:10:20.540000,50.041638,50.040149,50.03944,50.040594,50.040455249999994,150,2190
2021-11-07 04:10:20.560000,50.041959,50.04013,50.039018,50.040065,50.040293,150,2190
2021-11-07 04:10:20.580000,50.041177,50.040014,50.041963,50.039597,50.040687750000004,150,2190
2021-11-07 04:10:20.600000,50.039325,50.040129,50.04069,50.039745,50.03997225,150,2190
2021-11-07 04:10:20.620000,50.037511,50.040235,50.039834,50.039902,50.039370500000004,150,2190
2021-11-07 04:10:20.640000,50.037829,50.039786,50.039315,50.039593,50.039130750000005,150,2190
2021-11-07 04:10:20.660000,50.039884,50.039356,50.04,50.039521,50.03969025,150,2190
2021-11-07 04:10:20.680000,50.040351,50.03954,50.041968,50.040074,50.04048325,150,2190
2021-11-07 04:10:20.700000,50.039241,50.039759,50.039009,50.039749,50.0394395,150,2190
2021-11-07 04:10:20.720000,50.039464,50.03962,50.040134,50.039135,50.039588249999994,150,2190
2021-11-07 04:10:20.740000,50.039843,50.039247,50.038736,50.039204,50.039257500000005,150,2190
2021-11-07 04:10:20.760000,50.039622,50.039149,50.041144,50.039304,50.03980475,150,2190
2021-11-07 04:10:20.780000,50.040402,50.03919,50.037782,50.039273,50.03916175,150,2190
2021-11-07 04:10:20.800000,50.040272,50.038955,50.040107,50.03923,50.039641,150,2190
2021-11-07 04:10:20.820000,50.038559,50.038479,50.036658,50.038875,50.03814275,150,2190
2021-11-07 04:10:20.840000,50.038411,50.038614,50.040847,50.038548,50.039105,150,2190
2021-11-07 04:10:20.860000,50.03914,50.039016,50.03875,50.038695,50.03890025,150,2190
2021-11-07 04:10:20.880000,50.03878,50.039115,50.039042,50.038676,50.038903250000004,150,2190
2021-11-07 04:10:20.900000,50.038117,50.039152,50.036643,50.038435,50.03808675,150,2190
2021-11-07 04:10:20.920000,50.038064,50.03943,50.038477,50.038552,50.03863075,150,2190
2021-11-07 04:10:20.940000,50.03799,50.039137,50.036694,50.038859,50.038169999999994,150,2190
2021-11-07 04:10:20.960000,50.037824,50.038582,50.040662,50.038556,50.038906,150,2190
2021-11-07 04:10:20.980000,50.038371,50.038594,50.036565,50.03831,50.03796,150,2190
2021-11-07 04:10:21.000000,50.039997,50.038792,50.039681,50.038846,50.039329,150,2190
2021-11-07 04:10:21.020000,50.04155,50.038823,50.037398,50.039204,50.03924375,150,2190
2021-11-07 04:10:21.040000,50.041749,50.038735,50.038917,50.038633,50.039508500000004,150,2190
2021-11-07 04:10:21.060000,50.040582,50.038704,50.03887,50.038253,50.03910225,150,2190
2021-11-07 04:10:21.080000,50.039578,50.038616,50.038472,50.038548,50.0388035,150,2190
2021-11-07 04:10:21.100000,50.039098,50.038376,50.03876,50.039147,50.038845249999994,150,2190
2021-11-07 04:10:21.120000,50.03902,50.037635,50.037972,50.039047,50.038418500000006,150,2190
2021-11-07 04:10:21.140000,50.039203,50.037112,50.038916,50.038742,50.03849325,150,2190
2021-11-07 04:10:21.160000,50.038934,50.037478,50.037527,50.038904,50.038210750000005,150,2190
2021-11-07 04:10:21.180000,50.037482,50.038141,50.039464,50.039003,50.038522500000006,150,2190
2021-11-07 04:10:21.200000,50.036038,50.038643,50.038675,50.038688,50.038011000000004,150,2190
