Time Stamp,CL_Concepción_UDEC,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2021-10-23 18:34:01.260000,50.061699,50.057963,50.058318,50.059326666666664,175,2310
2021-10-23 18:34:01.280000,50.063218,50.064287,50.062569,50.063358,175,2310
2021-10-23 18:34:01.300000,50.064436,50.069722,50.066961,50.067039666666666,175,2310
2021-10-23 18:34:01.320000,50.063139,50.064005,50.065159,50.064101,175,2310
2021-10-23 18:34:01.340000,50.06095,50.060551,50.060644,50.060714999999995,175,2310
2021-10-23 18:34:01.360000,50.060583,50.059704,50.060037,50.06010800000001,175,2310
2021-10-23 18:34:01.380000,50.061352,50.062953,50.059687,50.06133066666666,175,2310
2021-10-23 18:34:01.400000,50.06189,50.052399,50.058381,50.05755666666666,175,2310
2021-10-23 18:34:01.420000,50.064134,50.064647,50.064311,50.064364000000005,175,2310
2021-10-23 18:34:01.440000,50.066276,50.06763,50.068987,50.067631,175,2310
2021-10-23 18:34:01.460000,50.064424,50.054315,50.063756,50.06083166666667,175,2310
2021-10-23 18:34:01.480000,50.061828,50.063666,50.059116,50.061536666666676,175,2310
2021-10-23 18:34:01.500000,50.060825,50.064695,50.059698,50.06173933333333,175,2310
2021-10-23 18:34:01.520000,50.061744,50.063357,50.062352,50.06248433333334,175,2310
2021-10-23 18:34:01.540000,50.062828,50.062639,50.063047,50.062838,175,2310
2021-10-23 18:34:01.560000,50.063162,50.058023,50.06203,50.06107166666666,175,2310
2021-10-23 18:34:01.580000,50.064491,50.065977,50.064032,50.06483333333333,175,2310
2021-10-23 18:34:01.600000,50.065732,50.068324,50.068377,50.06747766666666,175,2310
2021-10-23 18:34:01.620000,50.064565,50.072815,50.068004,50.06846133333334,175,2310
2021-10-23 18:34:01.640000,50.062579,50.055805,50.064374,50.060919333333324,175,2310
2021-10-23 18:34:01.660000,50.062749,50.068773,50.06477,50.065430666666664,175,2310
2021-10-23 18:34:01.680000,50.062606,50.063745,50.063287,50.063212666666665,175,2310
