Time Stamp,CL_Concepción_UDEC,CL_Santiago_USACH,CL_Temuco_UFRO,CIO,Potencia,Inicio
2021-08-12 07:26:01.260000,49.882319,49.885018,49.883471,49.88360266666666,120,2670
2021-08-12 07:26:01.280000,49.884314,49.884324,49.883205,49.88394766666667,120,2670
2021-08-12 07:26:01.300000,49.884584,49.886129,49.883686,49.88479966666667,120,2670
2021-08-12 07:26:01.320000,49.881778,49.889861,49.882841,49.88482666666666,120,2670
2021-08-12 07:26:01.340000,49.87969,49.869473,49.881578,49.87691366666667,120,2670
2021-08-12 07:26:01.360000,49.882356,49.875564,49.882445,49.88012166666667,120,2670
2021-08-12 07:26:01.380000,49.885208,49.894538,49.883948,49.887898,120,2670
2021-08-12 07:26:01.400000,49.883492,49.8985,49.882451,49.88814766666667,120,2670
2021-08-12 07:26:01.420000,49.880824,49.867768,49.880566,49.876386000000004,120,2670
2021-08-12 07:26:01.440000,49.881166,49.875982,49.881919,49.879689000000006,120,2670
2021-08-12 07:26:01.460000,49.882693,49.883833,49.884224,49.88358333333334,120,2670
2021-08-12 07:26:01.480000,49.882578,49.883046,49.884191,49.883271666666666,120,2670
2021-08-12 07:26:01.500000,49.88225,49.877144,49.882944,49.88077933333333,120,2670
2021-08-12 07:26:01.520000,49.8833,49.885986,49.882735,49.884007,120,2670
2021-08-12 07:26:01.540000,49.883698,49.884917,49.882292,49.88363566666667,120,2670
2021-08-12 07:26:01.560000,49.882445,49.883102,49.881577,49.882374666666664,120,2670
2021-08-12 07:26:01.580000,49.882681,49.882259,49.882702,49.88254733333333,120,2670
2021-08-12 07:26:01.600000,49.884791,49.887065,49.884693,49.88551633333333,120,2670
2021-08-12 07:26:01.620000,49.884347,49.895657,49.883968,49.88799066666667,120,2670
2021-08-12 07:26:01.640000,49.882259,49.873352,49.881567,49.87905933333332,120,2670
2021-08-12 07:26:01.660000,49.882745,49.877463,49.881114,49.880440666666665,120,2670
2021-08-12 07:26:01.680000,49.883653,49.879075,49.882235,49.88165433333334,120,2670
2021-08-12 07:26:01.700000,49.883611,49.889148,49.8831,49.88528633333334,120,2670
2021-08-12 07:26:01.720000,49.882824,49.881657,49.883244,49.882574999999996,120,2670
2021-08-12 07:26:01.740000,49.881876,49.876547,49.882538,49.88032033333334,120,2670
2021-08-12 07:26:01.760000,49.882302,49.884268,49.882065,49.88287833333334,120,2670
2021-08-12 07:26:01.780000,49.883051,49.88087,49.881658,49.881859666666664,120,2670
2021-08-12 07:26:01.800000,49.882369,49.883324,49.881158,49.882283666666666,120,2670
2021-08-12 07:26:01.820000,49.881871,49.879,49.882316,49.88106233333334,120,2670
2021-08-12 07:26:01.840000,49.882638,49.8835,49.884133,49.883423666666665,120,2670
2021-08-12 07:26:01.860000,49.883084,49.883218,49.883296,49.88319933333333,120,2670
2021-08-12 07:26:01.880000,49.882379,49.882754,49.881512,49.882214999999995,120,2670
2021-08-12 07:26:01.900000,49.880986,49.881801,49.881232,49.88133966666667,120,2670
2021-08-12 07:26:01.920000,49.878714,49.89125,49.881827,49.88393033333333,120,2670
2021-08-12 07:26:01.940000,49.879092,49.86975,49.882942,49.87726133333333,120,2670
2021-08-12 07:26:01.960000,49.880727,49.885264,49.882773,49.882921333333336,120,2670
2021-08-12 07:26:01.980000,49.879445,49.883607,49.8805,49.881184,120,2670
