Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_USACH,CL_Temuco_UFRO,CIO,Potencia,Inicio
2021-06-20 11:34:01.140000,50.062268,50.06238,50.058519,50.062272,50.06135975,454,3180
2021-06-20 11:34:01.160000,50.062361,50.06192,50.062833,50.062008,50.0622805,454,3180
2021-06-20 11:34:01.180000,50.062713,50.062096,50.063658,50.062522,50.06274725,454,3180
2021-06-20 11:34:01.200000,50.062797,50.063062,50.064305,50.063072,50.063309000000004,454,3180
2021-06-20 11:34:01.220000,50.062899,50.063559,50.063352,50.062794,50.063151,454,3180
2021-06-20 11:34:01.240000,50.062732,50.063024,50.062361,50.062633,50.0626875,454,3180
2021-06-20 11:34:01.260000,50.062357,50.06277,50.062787,50.063049,50.062740749999996,454,3180
2021-06-20 11:34:01.280000,50.062422,50.062802,50.060612,50.063168,50.062250999999996,454,3180
2021-06-20 11:34:01.300000,50.062917,50.063149,50.061435,50.063011,50.062628000000004,454,3180
2021-06-20 11:34:01.320000,50.063343,50.063038,50.063315,50.063028,50.06318100000001,454,3180
2021-06-20 11:34:01.340000,50.063172,50.061914,50.065162,50.063071,50.06332975,454,3180
2021-06-20 11:34:01.360000,50.062917,50.061431,50.062662,50.062839,50.062462249999996,454,3180
2021-06-20 11:34:01.380000,50.062921,50.062031,50.064556,50.062732,50.06306000000001,454,3180
2021-06-20 11:34:01.400000,50.062847,50.062834,50.061255,50.062991,50.06248175,454,3180
2021-06-20 11:34:01.420000,50.063056,50.063649,50.064843,50.063764,50.063828,454,3180
2021-06-20 11:34:01.440000,50.063685,50.063569,50.064218,50.064238,50.06392749999999,454,3180
2021-06-20 11:34:01.460000,50.063985,50.062954,50.064962,50.063874,50.06394375,454,3180
2021-06-20 11:34:01.480000,50.06399,50.063591,50.064426,50.063563,50.063892499999994,454,3180
2021-06-20 11:34:01.500000,50.064144,50.064832,50.06601,50.064121,50.06477675,454,3180
2021-06-20 11:34:01.520000,50.064065,50.065314,50.065259,50.064469,50.06477675,454,3180
2021-06-20 11:34:01.540000,50.063801,50.064798,50.06113,50.064123,50.063463,454,3180
2021-06-20 11:34:01.560000,50.06432,50.063922,50.060815,50.063968,50.063256249999995,454,3180
2021-06-20 11:34:01.580000,50.064561,50.063865,50.06581,50.064246,50.0646205,454,3180
2021-06-20 11:34:01.600000,50.064523,50.064725,50.060987,50.064269,50.063626,454,3180
2021-06-20 11:34:01.620000,50.064735,50.065237,50.065139,50.064708,50.06495475,454,3180
2021-06-20 11:34:01.640000,50.065119,50.064922,50.06487,50.064986,50.06497425,454,3180
2021-06-20 11:34:01.660000,50.065417,50.064935,50.066102,50.064883,50.06533425,454,3180
2021-06-20 11:34:01.680000,50.065324,50.065712,50.06575,50.064828,50.0654035,454,3180
2021-06-20 11:34:01.700000,50.064934,50.066164,50.064125,50.064826,50.065012249999995,454,3180
2021-06-20 11:34:01.720000,50.065235,50.065574,50.063023,50.065019,50.06471275,454,3180
2021-06-20 11:34:01.740000,50.065704,50.064589,50.062805,50.065188,50.0645715,454,3180
2021-06-20 11:34:01.760000,50.065719,50.064454,50.068333,50.065365,50.06596775,454,3180
2021-06-20 11:34:01.780000,50.065735,50.065167,50.066528,50.065597,50.06575675,454,3180
2021-06-20 11:34:01.800000,50.065684,50.066534,50.062815,50.065797,50.0652075,454,3180
2021-06-20 11:34:01.820000,50.065473,50.068226,50.067083,50.065413,50.06654875,454,3180
2021-06-20 11:34:01.840000,50.06545,50.068561,50.069824,50.064709,50.067136,454,3180
2021-06-20 11:34:01.860000,50.06544,50.067074,50.064741,50.064409,50.065416,454,3180
2021-06-20 11:34:01.880000,50.06531,50.065621,50.064741,50.064936,50.065152,454,3180
2021-06-20 11:34:01.900000,50.065518,50.0655,50.066907,50.065767,50.065923,454,3180
2021-06-20 11:34:01.920000,50.065593,50.066265,50.068991,50.066351,50.0668,454,3180
2021-06-20 11:34:01.940000,50.06563,50.066382,50.070408,50.066258,50.067169500000006,454,3180
2021-06-20 11:34:01.960000,50.066208,50.065468,50.064917,50.065871,50.065616000000006,454,3180
2021-06-20 11:34:01.980000,50.066254,50.065043,50.063444,50.065603,50.065086,454,3180
2021-06-20 11:34:02.000000,50.065033,50.065012,50.065666,50.065645,50.065338999999994,454,3180
2021-06-20 11:34:02.020000,50.064538,50.064889,50.063695,50.065629,50.06468775,454,3180
2021-06-20 11:34:02.040000,50.065352,50.064685,50.063851,50.065796,50.064921,454,3180
2021-06-20 11:34:02.060000,50.066008,50.064978,50.06601,50.06638,50.065844000000006,454,3180
2021-06-20 11:34:02.080000,50.065718,50.066062,50.067305,50.066532,50.06640425,454,3180
2021-06-20 11:34:02.100000,50.065326,50.066664,50.065676,50.066352,50.0660045,454,3180
2021-06-20 11:34:02.120000,50.0652,50.065925,50.064454,50.066014,50.06539825,454,3180
2021-06-20 11:34:02.140000,50.065351,50.064769,50.063732,50.065518,50.0648425,454,3180
2021-06-20 11:34:02.160000,50.065593,50.06447,50.063963,50.065388,50.0648535,454,3180
2021-06-20 11:34:02.180000,50.06612,50.065457,50.065833,50.065708,50.0657795,454,3180
2021-06-20 11:34:02.200000,50.066796,50.066757,50.065342,50.066079,50.0662435,454,3180
2021-06-20 11:34:02.220000,50.066435,50.067114,50.06701,50.066138,50.06667425,454,3180
2021-06-20 11:34:02.240000,50.065797,50.066592,50.061945,50.06593,50.065066,454,3180
2021-06-20 11:34:02.260000,50.065699,50.065881,50.061129,50.065819,50.064632,454,3180
2021-06-20 11:34:02.280000,50.065934,50.065771,50.068407,50.065523,50.066408749999994,454,3180
2021-06-20 11:34:02.300000,50.066174,50.0664,50.065463,50.065121,50.0657895,454,3180
2021-06-20 11:34:02.320000,50.066241,50.066621,50.059435,50.06518,50.06436925,454,3180
2021-06-20 11:34:02.340000,50.065862,50.065901,50.067907,50.065662,50.066333,454,3180
2021-06-20 11:34:02.360000,50.065755,50.065537,50.067667,50.066273,50.066308,454,3180
2021-06-20 11:34:02.380000,50.066634,50.066478,50.069314,50.066749,50.067293750000005,454,3180
2021-06-20 11:34:02.400000,50.067105,50.068285,50.067722,50.06699,50.0675255,454,3180
2021-06-20 11:34:02.420000,50.066515,50.068606,50.068917,50.066978,50.067754,454,3180
2021-06-20 11:34:02.440000,50.066056,50.067185,50.065962,50.066671,50.0664685,454,3180
2021-06-20 11:34:02.460000,50.066102,50.065636,50.066065,50.06654,50.06608575,454,3180
2021-06-20 11:34:02.480000,50.066051,50.065368,50.064376,50.066684,50.06561975,454,3180
2021-06-20 11:34:02.500000,50.066582,50.066648,50.067986,50.067103,50.06707975,454,3180
2021-06-20 11:34:02.520000,50.067509,50.068017,50.067713,50.067518,50.06768925,454,3180
2021-06-20 11:34:02.540000,50.068319,50.06834,50.067019,50.067631,50.06782725000001,454,3180
2021-06-20 11:34:02.560000,50.068722,50.068577,50.066546,50.067618,50.06786575,454,3180
2021-06-20 11:34:02.580000,50.067815,50.068422,50.068454,50.067495,50.0680465,454,3180
2021-06-20 11:34:02.600000,50.066532,50.067848,50.065482,50.067366,50.066807,454,3180
2021-06-20 11:34:02.620000,50.066496,50.067415,50.066069,50.067467,50.066861749999994,454,3180
2021-06-20 11:34:02.640000,50.067532,50.067447,50.068486,50.067832,50.06782425,454,3180
2021-06-20 11:34:02.660000,50.068412,50.067786,50.071509,50.068236,50.068985749999996,454,3180
2021-06-20 11:34:02.680000,50.068459,50.068478,50.070592,50.068159,50.068922,454,3180
2021-06-20 11:34:02.700000,50.068223,50.069473,50.068704,50.067881,50.06857025,454,3180
2021-06-20 11:34:02.720000,50.068564,50.069958,50.067907,50.068282,50.06867775,454,3180
2021-06-20 11:34:02.740000,50.068551,50.068978,50.069773,50.068842,50.069036,454,3180
2021-06-20 11:34:02.760000,50.068462,50.067756,50.065532,50.069018,50.067692,454,3180
2021-06-20 11:34:02.780000,50.068788,50.067862,50.067658,50.068735,50.06826075,454,3180
2021-06-20 11:34:02.800000,50.068949,50.068357,50.069588,50.068575,50.068867250000004,454,3180
2021-06-20 11:34:02.820000,50.068921,50.068596,50.070449,50.068641,50.06915175,454,3180
2021-06-20 11:34:02.840000,50.069255,50.068724,50.069713,50.068464,50.069039000000004,454,3180
2021-06-20 11:34:02.860000,50.06969,50.068877,50.070426,50.068868,50.06946525,454,3180
2021-06-20 11:34:02.880000,50.069647,50.069384,50.069926,50.070091,50.069762,454,3180
2021-06-20 11:34:02.900000,50.069137,50.069454,50.06868,50.070427,50.0694245,454,3180
2021-06-20 11:34:02.920000,50.068593,50.068754,50.069523,50.069904,50.069193500000004,454,3180
2021-06-20 11:34:02.940000,50.069042,50.067934,50.068769,50.069551,50.068824,454,3180
2021-06-20 11:34:02.960000,50.069648,50.068138,50.070157,50.069443,50.0693465,454,3180
2021-06-20 11:34:02.980000,50.069329,50.068626,50.069593,50.069176,50.069181,454,3180
2021-06-20 11:34:03.000000,50.068546,50.06923,50.068871,50.069238,50.068971250000004,454,3180
2021-06-20 11:34:03.020000,50.068343,50.069487,50.067462,50.070034,50.0688315,454,3180
2021-06-20 11:34:03.040000,50.069334,50.069505,50.069241,50.070092,50.069542999999996,454,3180
2021-06-20 11:34:03.060000,50.070013,50.069258,50.068241,50.069484,50.069249,454,3180
2021-06-20 11:34:03.080000,50.069204,50.069078,50.068352,50.06931,50.068986,454,3180
2021-06-20 11:34:03.100000,50.068824,50.069295,50.068787,50.06948,50.0690965,454,3180
2021-06-20 11:34:03.120000,50.069528,50.06902,50.070241,50.069991,50.069694999999996,454,3180
2021-06-20 11:34:03.140000,50.070417,50.068678,50.07062,50.070754,50.070117249999996,454,3180
2021-06-20 11:34:03.160000,50.070259,50.068688,50.071102,50.070219,50.070067,454,3180
2021-06-20 11:34:03.180000,50.069227,50.068974,50.067917,50.069241,50.06883975,454,3180
2021-06-20 11:34:03.200000,50.068903,50.069351,50.068741,50.068991,50.0689965,454,3180
2021-06-20 11:34:03.220000,50.06956,50.06957,50.068194,50.069612,50.069234,454,3180
2021-06-20 11:34:03.240000,50.070129,50.069556,50.07063,50.070143,50.0701145,454,3180
2021-06-20 11:34:03.260000,50.069903,50.069652,50.070482,50.069831,50.069967,454,3180
2021-06-20 11:34:03.280000,50.07001,50.070092,50.071695,50.069609,50.0703515,454,3180
2021-06-20 11:34:03.300000,50.069824,50.070626,50.068249,50.069916,50.06965375,454,3180
2021-06-20 11:34:03.320000,50.069626,50.070721,50.070306,50.069621,50.07006849999999,454,3180
2021-06-20 11:34:03.340000,50.069441,50.069964,50.069333,50.06908,50.06945449999999,454,3180
2021-06-20 11:34:03.360000,50.069635,50.069364,50.066893,50.069102,50.0687485,454,3180
2021-06-20 11:34:03.380000,50.07,50.07006,50.067718,50.069444,50.069305500000006,454,3180
2021-06-20 11:34:03.400000,50.06999,50.070665,50.067139,50.069645,50.06935975,454,3180
2021-06-20 11:34:03.420000,50.070036,50.070819,50.069194,50.069704,50.06993825,454,3180
2021-06-20 11:34:03.440000,50.070162,50.070628,50.073028,50.069768,50.0708965,454,3180
2021-06-20 11:34:03.460000,50.070166,50.070157,50.070444,50.070014,50.07019525,454,3180
2021-06-20 11:34:03.480000,50.070069,50.069451,50.068889,50.070247,50.069664,454,3180
2021-06-20 11:34:03.500000,50.069723,50.069177,50.068639,50.070368,50.06947675,454,3180
2021-06-20 11:34:03.520000,50.069412,50.069377,50.070389,50.069723,50.069725250000005,454,3180
2021-06-20 11:34:03.540000,50.069283,50.069338,50.072463,50.068585,50.06991725,454,3180
2021-06-20 11:34:03.560000,50.069564,50.069385,50.07049,50.068354,50.06944825,454,3180
2021-06-20 11:34:03.580000,50.069856,50.069839,50.07188,50.069512,50.07027175,454,3180
2021-06-20 11:34:03.600000,50.069657,50.069867,50.071417,50.070428,50.070342249999996,454,3180
