Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_USACH,CIO,Potencia,Inicio
2021-05-02 16:44:01.240000,49.876726,49.877079,49.877676,49.877160333333336,146,2220
2021-05-02 16:44:01.260000,49.878027,49.877806,49.87738,49.87773766666667,146,2220
2021-05-02 16:44:01.280000,49.877643,49.877296,49.876824,49.87725433333333,146,2220
2021-05-02 16:44:01.300000,49.876389,49.876278,49.876518,49.876395,146,2220
2021-05-02 16:44:01.320000,49.87693,49.875945,49.874417,49.875764000000004,146,2220
2021-05-02 16:44:01.340000,49.876458,49.876732,49.874546,49.875912,146,2220
2021-05-02 16:44:01.360000,49.872741,49.877496,49.875602,49.875279666666664,146,2220
2021-05-02 16:44:01.380000,49.874616,49.877802,49.881241,49.87788633333334,146,2220
2021-05-02 16:44:01.400000,49.880842,49.878094,49.881981,49.880305666666665,146,2220
2021-05-02 16:44:01.420000,49.88099,49.878792,49.881898,49.88056,146,2220
2021-05-02 16:44:01.440000,49.878237,49.879314,49.877815,49.878455333333335,146,2220
2021-05-02 16:44:01.460000,49.877422,49.879218,49.878745,49.878461666666674,146,2220
2021-05-02 16:44:01.480000,49.877611,49.878423,49.874718,49.87691733333333,146,2220
2021-05-02 16:44:01.500000,49.878982,49.878115,49.878601,49.878566,146,2220
2021-05-02 16:44:01.520000,49.880269,49.87862,49.880144,49.87967766666666,146,2220
2021-05-02 16:44:01.540000,49.880246,49.879219,49.882486,49.880650333333335,146,2220
2021-05-02 16:44:01.560000,49.87987,49.879423,49.878495,49.87926266666667,146,2220
2021-05-02 16:44:01.580000,49.879861,49.87938,49.883741,49.88099400000001,146,2220
2021-05-02 16:44:01.600000,49.879449,49.879135,49.878444,49.87900933333333,146,2220
2021-05-02 16:44:01.620000,49.878922,49.878963,49.879879,49.87925466666667,146,2220
2021-05-02 16:44:01.640000,49.879421,49.878996,49.87293,49.87711566666667,146,2220
2021-05-02 16:44:01.660000,49.880879,49.879464,49.877209,49.879184,146,2220
