Time Stamp,CL_Concepción_UDEC,CL_Santiago_USACH,CIO,Potencia,Inicio
2021-10-20 16:20:41.480000,49.951536,49.953713,49.9526245,128,1410
2021-10-20 16:20:41.500000,49.952078,49.946315,49.9491965,128,1410
2021-10-20 16:20:41.520000,49.953083,49.953046,49.953064499999996,128,1410
2021-10-20 16:20:41.540000,49.954056,49.969879,49.9619675,128,1410
2021-10-20 16:20:41.560000,49.954033,49.949454,49.951743500000006,128,1410
2021-10-20 16:20:41.580000,49.953637,49.951926,49.9527815,128,1410
2021-10-20 16:20:41.600000,49.953837,49.951889,49.952863,128,1410
2021-10-20 16:20:41.620000,49.954829,49.95825,49.9565395,128,1410
2021-10-20 16:20:41.640000,49.954677,49.957444,49.9560605,128,1410
2021-10-20 16:20:41.660000,49.953417,49.958491,49.955954000000006,128,1410
2021-10-20 16:20:41.680000,49.952491,49.956361,49.954426,128,1410
2021-10-20 16:20:41.700000,49.952646,49.950963,49.9518045,128,1410
2021-10-20 16:20:41.720000,49.95392,49.949528,49.951724,128,1410
2021-10-20 16:20:41.740000,49.955233,49.957556,49.9563945,128,1410
2021-10-20 16:20:41.760000,49.954868,49.956852,49.95586,128,1410
2021-10-20 16:20:41.780000,49.952935,49.954065,49.9535,128,1410
2021-10-20 16:20:41.800000,49.951427,49.949671,49.950549,128,1410
2021-10-20 16:20:41.820000,49.952199,49.948199,49.950199,128,1410
2021-10-20 16:20:41.840000,49.954319,49.948639,49.951479,128,1410
2021-10-20 16:20:41.860000,49.954935,49.958768,49.9568515,128,1410
2021-10-20 16:20:41.880000,49.954014,49.956463,49.9552385,128,1410
2021-10-20 16:20:41.900000,49.953763,49.954176,49.9539695,128,1410
2021-10-20 16:20:41.920000,49.953594,49.941797,49.9476955,128,1410
2021-10-20 16:20:41.940000,49.953352,49.944306,49.948829,128,1410
2021-10-20 16:20:41.960000,49.954054,49.952685,49.9533695,128,1410
2021-10-20 16:20:41.980000,49.954795,49.955018,49.9549065,128,1410
2021-10-20 16:20:42.000000,49.954478,49.953843,49.9541605,128,1410
2021-10-20 16:20:42.020000,49.953603,49.954583,49.954093,128,1410
2021-10-20 16:20:42.040000,49.953519,49.953658,49.953588499999995,128,1410
2021-10-20 16:20:42.060000,49.953995,49.969861,49.961928,128,1410
2021-10-20 16:20:42.080000,49.953721,49.956935,49.955328,128,1410
2021-10-20 16:20:42.100000,49.953158,49.952453,49.9528055,128,1410
2021-10-20 16:20:42.120000,49.951486,49.945732,49.948609000000005,128,1410
2021-10-20 16:20:42.140000,49.952073,49.9515,49.9517865,128,1410
2021-10-20 16:20:42.160000,49.95544,49.942269,49.9488545,128,1410
2021-10-20 16:20:42.180000,49.955629,49.954407,49.955018,128,1410
2021-10-20 16:20:42.200000,49.954825,49.95875,49.956787500000004,128,1410
2021-10-20 16:20:42.220000,49.955877,49.962528,49.9592025,128,1410
2021-10-20 16:20:42.240000,49.955563,49.962861,49.959211999999994,128,1410
2021-10-20 16:20:42.260000,49.953186,49.947213,49.9501995,128,1410
2021-10-20 16:20:42.280000,49.951306,49.953811,49.9525585,128,1410
2021-10-20 16:20:42.300000,49.951992,49.950023,49.9510075,128,1410
2021-10-20 16:20:42.320000,49.953408,49.959435,49.956421500000005,128,1410
2021-10-20 16:20:42.340000,49.953331,49.954806,49.9540685,128,1410
2021-10-20 16:20:42.360000,49.953485,49.952704,49.9530945,128,1410
2021-10-20 16:20:42.380000,49.953857,49.947611,49.950734,128,1410
2021-10-20 16:20:42.400000,49.953533,49.952862,49.9531975,128,1410
2021-10-20 16:20:42.420000,49.953279,49.947694,49.9504865,128,1410
2021-10-20 16:20:42.440000,49.953164,49.941675,49.947419499999995,128,1410
2021-10-20 16:20:42.460000,49.953153,49.946908,49.9500305,128,1410
2021-10-20 16:20:42.480000,49.95304,49.951074,49.952056999999996,128,1410
2021-10-20 16:20:42.500000,49.95286,49.952834,49.952847000000006,128,1410
2021-10-20 16:20:42.520000,49.952653,49.954555,49.953604,128,1410
2021-10-20 16:20:42.540000,49.951384,49.953195,49.9522895,128,1410
2021-10-20 16:20:42.560000,49.951115,49.950593,49.950854,128,1410
2021-10-20 16:20:42.580000,49.952642,49.956102,49.954372,128,1410
2021-10-20 16:20:42.600000,49.953364,49.953917,49.9536405,128,1410
2021-10-20 16:20:42.620000,49.953102,49.953407,49.9532545,128,1410
2021-10-20 16:20:42.640000,49.952648,49.952972,49.95281,128,1410
2021-10-20 16:20:42.660000,49.952177,49.963274,49.957725499999995,128,1410
2021-10-20 16:20:42.680000,49.952037,49.951829,49.951933,128,1410
2021-10-20 16:20:42.700000,49.951713,49.950991,49.951352,128,1410
2021-10-20 16:20:42.720000,49.951606,49.947481,49.949543500000004,128,1410
2021-10-20 16:20:42.740000,49.952384,49.951556,49.95197,128,1410
2021-10-20 16:20:42.760000,49.95263,49.951537,49.9520835,128,1410
2021-10-20 16:20:42.780000,49.952362,49.953973,49.9531675,128,1410
2021-10-20 16:20:42.800000,49.952989,49.948805,49.950897,128,1410
2021-10-20 16:20:42.820000,49.953851,49.949259,49.951555,128,1410
2021-10-20 16:20:42.840000,49.953709,49.952778,49.9532435,128,1410
2021-10-20 16:20:42.860000,49.95355,49.954333,49.9539415,128,1410
2021-10-20 16:20:42.880000,49.952962,49.953342,49.953152,128,1410
2021-10-20 16:20:42.900000,49.951813,49.953741,49.952777,128,1410
2021-10-20 16:20:42.920000,49.951314,49.95112,49.951217,128,1410
2021-10-20 16:20:42.940000,49.950728,49.953185,49.951956499999994,128,1410
2021-10-20 16:20:42.960000,49.95101,49.951611,49.9513105,128,1410
2021-10-20 16:20:42.980000,49.952671,49.954935,49.953803,128,1410
2021-10-20 16:20:43.000000,49.953303,49.952204,49.9527535,128,1410
2021-10-20 16:20:43.020000,49.953748,49.95162,49.952684,128,1410
2021-10-20 16:20:43.040000,49.955547,49.946685,49.951116,128,1410
2021-10-20 16:20:43.060000,49.954717,49.948778,49.951747499999996,128,1410
2021-10-20 16:20:43.080000,49.949883,49.951945,49.950914,128,1410
2021-10-20 16:20:43.100000,49.94669,49.95275,49.94972,128,1410
2021-10-20 16:20:43.120000,49.948962,49.954601,49.951781499999996,128,1410
2021-10-20 16:20:43.140000,49.952522,49.950167,49.951344500000005,128,1410
2021-10-20 16:20:43.160000,49.953526,49.95301,49.953267999999994,128,1410
2021-10-20 16:20:43.180000,49.95218,49.951916,49.952048,128,1410
2021-10-20 16:20:43.200000,49.950594,49.957842,49.954218,128,1410
2021-10-20 16:20:43.220000,49.950204,49.955361,49.9527825,128,1410
2021-10-20 16:20:43.240000,49.950638,49.956667,49.953652500000004,128,1410
2021-10-20 16:20:43.260000,49.951782,49.949871,49.950826500000005,128,1410
2021-10-20 16:20:43.280000,49.952533,49.949426,49.9509795,128,1410
2021-10-20 16:20:43.300000,49.951986,49.950592,49.951289,128,1410
2021-10-20 16:20:43.320000,49.950514,49.957694,49.954104,128,1410
2021-10-20 16:20:43.340000,49.950306,49.951778,49.951042,128,1410
2021-10-20 16:20:43.360000,49.951452,49.951787,49.95161950000001,128,1410
2021-10-20 16:20:43.380000,49.951871,49.940519,49.946195,128,1410
2021-10-20 16:20:43.400000,49.951787,49.939093,49.945440000000005,128,1410
2021-10-20 16:20:43.420000,49.951829,49.953574,49.9527015,128,1410
2021-10-20 16:20:43.440000,49.951241,49.957277,49.954259,128,1410
2021-10-20 16:20:43.460000,49.951122,49.949815,49.9504685,128,1410
2021-10-20 16:20:43.480000,49.95174,49.951703,49.951721500000005,128,1410
2021-10-20 16:20:43.500000,49.951682,49.948454,49.950068,128,1410
2021-10-20 16:20:43.520000,49.951315,49.946685,49.949,128,1410
2021-10-20 16:20:43.540000,49.951592,49.95424,49.952916,128,1410
2021-10-20 16:20:43.560000,49.952417,49.957509,49.954963,128,1410
2021-10-20 16:20:43.580000,49.952422,49.96075,49.956586,128,1410
2021-10-20 16:20:43.600000,49.951381,49.948824,49.9501025,128,1410
2021-10-20 16:20:43.620000,49.950764,49.947639,49.9492015,128,1410
2021-10-20 16:20:43.640000,49.951304,49.952973,49.952138500000004,128,1410
2021-10-20 16:20:43.660000,49.952467,49.955129,49.953798,128,1410
2021-10-20 16:20:43.680000,49.95295,49.950435,49.9516925,128,1410
2021-10-20 16:20:43.700000,49.952081,49.948417,49.950249,128,1410
2021-10-20 16:20:43.720000,49.951117,49.948074,49.9495955,128,1410
2021-10-20 16:20:43.740000,49.951744,49.95499,49.953367,128,1410
2021-10-20 16:20:43.760000,49.952878,49.948732,49.950805,128,1410
2021-10-20 16:20:43.780000,49.952949,49.956806,49.954877499999995,128,1410
2021-10-20 16:20:43.800000,49.9522,49.951148,49.951674,128,1410
2021-10-20 16:20:43.820000,49.951659,49.952056,49.9518575,128,1410
2021-10-20 16:20:43.840000,49.952107,49.950009,49.951058,128,1410
2021-10-20 16:20:43.860000,49.953166,49.955325,49.9542455,128,1410
2021-10-20 16:20:43.880000,49.953884,49.953194,49.953539000000006,128,1410
2021-10-20 16:20:43.900000,49.952796,49.956602,49.954699,128,1410
2021-10-20 16:20:43.920000,49.950879,49.947777,49.949328,128,1410
2021-10-20 16:20:43.940000,49.950801,49.952111,49.951456,128,1410
2021-10-20 16:20:43.960000,49.952333,49.951426,49.951879500000004,128,1410
2021-10-20 16:20:43.980000,49.953157,49.953111,49.953134,128,1410
2021-10-20 16:20:44.000000,49.953453,49.955194,49.9543235,128,1410
2021-10-20 16:20:44.020000,49.952908,49.950417,49.9516625,128,1410
2021-10-20 16:20:44.040000,49.951638,49.950421,49.951029500000004,128,1410
2021-10-20 16:20:44.060000,49.950704,49.949986,49.950345,128,1410
2021-10-20 16:20:44.080000,49.951469,49.952079,49.951774,128,1410
2021-10-20 16:20:44.100000,49.952492,49.950018,49.951255,128,1410
2021-10-20 16:20:44.120000,49.952063,49.955107,49.953585000000004,128,1410
2021-10-20 16:20:44.140000,49.951694,49.954607,49.95315050000001,128,1410
2021-10-20 16:20:44.160000,49.952625,49.954023,49.953323999999995,128,1410
2021-10-20 16:20:44.180000,49.953903,49.95318,49.9535415,128,1410
2021-10-20 16:20:44.200000,49.952866,49.950565,49.9517155,128,1410
2021-10-20 16:20:44.220000,49.951473,49.952357,49.951915,128,1410
2021-10-20 16:20:44.240000,49.952009,49.954856,49.9534325,128,1410
2021-10-20 16:20:44.260000,49.953499,49.950148,49.9518235,128,1410
2021-10-20 16:20:44.280000,49.95393,49.952514,49.953222,128,1410
2021-10-20 16:20:44.300000,49.95344,49.950704,49.952072,128,1410
2021-10-20 16:20:44.320000,49.951898,49.956523,49.9542105,128,1410
2021-10-20 16:20:44.340000,49.950343,49.954412,49.9523775,128,1410
2021-10-20 16:20:44.360000,49.951556,49.954172,49.952864,128,1410
2021-10-20 16:20:44.380000,49.954275,49.951263,49.952769,128,1410
2021-10-20 16:20:44.400000,49.95417,49.956806,49.955488,128,1410
2021-10-20 16:20:44.420000,49.952148,49.950689,49.9514185,128,1410
2021-10-20 16:20:44.440000,49.951235,49.959186,49.9552105,128,1410
2021-10-20 16:20:44.460000,49.949498,49.955259,49.952378499999995,128,1410
2021-10-20 16:20:44.480000,49.946718,49.95082,49.948769,128,1410
2021-10-20 16:20:44.500000,49.950124,49.949305,49.9497145,128,1410
2021-10-20 16:20:44.520000,49.957377,49.953838,49.9556075,128,1410
2021-10-20 16:20:44.540000,49.958619,49.955634,49.9571265,128,1410
2021-10-20 16:20:44.560000,49.95419,49.95582,49.955005,128,1410
2021-10-20 16:20:44.580000,49.95063,49.953875,49.9522525,128,1410
2021-10-20 16:20:44.600000,49.950556,49.949038,49.949797000000004,128,1410
2021-10-20 16:20:44.620000,49.952153,49.952084,49.9521185,128,1410
2021-10-20 16:20:44.640000,49.95348,49.951656,49.952568,128,1410
2021-10-20 16:20:44.660000,49.954102,49.955002,49.954552,128,1410
2021-10-20 16:20:44.680000,49.953779,49.950587,49.952183,128,1410
2021-10-20 16:20:44.700000,49.952138,49.946364,49.949251000000004,128,1410
2021-10-20 16:20:44.720000,49.948816,49.951815,49.9503155,128,1410
2021-10-20 16:20:44.740000,49.947689,49.951815,49.949752000000004,128,1410
2021-10-20 16:20:44.760000,49.95137,49.951815,49.951592500000004,128,1410
2021-10-20 16:20:44.780000,49.955355,49.951815,49.953585000000004,128,1410
2021-10-20 16:20:44.800000,49.955245,49.951815,49.95353,128,1410
2021-10-20 16:20:44.820000,49.953142,49.951815,49.9524785,128,1410
2021-10-20 16:20:44.840000,49.95283,49.951815,49.9523225,128,1410
2021-10-20 16:20:44.860000,49.954301,49.953232,49.9537665,128,1410
2021-10-20 16:20:44.880000,49.954792,49.959007,49.9568995,128,1410
2021-10-20 16:20:44.900000,49.953683,49.958493,49.956087999999994,128,1410
2021-10-20 16:20:44.920000,49.953216,49.94806,49.950638,128,1410
2021-10-20 16:20:44.940000,49.954199,49.952187,49.953193,128,1410
2021-10-20 16:20:44.960000,49.954687,49.954755,49.954721,128,1410
2021-10-20 16:20:44.980000,49.954714,49.954267,49.954490500000006,128,1410
2021-10-20 16:20:45.000000,49.954357,49.960979,49.957668,128,1410
2021-10-20 16:20:45.020000,49.953489,49.952304,49.952896499999994,128,1410
2021-10-20 16:20:45.040000,49.953266,49.955466,49.954366,128,1410
2021-10-20 16:20:45.060000,49.954297,49.953063,49.95368,128,1410
2021-10-20 16:20:45.080000,49.955751,49.95431,49.9550305,128,1410
2021-10-20 16:20:45.100000,49.956016,49.955008,49.955512,128,1410
2021-10-20 16:20:45.120000,49.954385,49.963203,49.958794,128,1410
2021-10-20 16:20:45.140000,49.953348,49.951512,49.95243,128,1410
2021-10-20 16:20:45.160000,49.954211,49.95182,49.9530155,128,1410
2021-10-20 16:20:45.180000,49.954848,49.949982,49.952415,128,1410
2021-10-20 16:20:45.200000,49.952543,49.954581,49.953562,128,1410
2021-10-20 16:20:45.220000,49.95045,49.955447,49.9529485,128,1410
2021-10-20 16:20:45.240000,49.953268,49.956116,49.954692,128,1410
2021-10-20 16:20:45.260000,49.955645,49.951783,49.953714,128,1410
2021-10-20 16:20:45.280000,49.954969,49.956945,49.955957,128,1410
2021-10-20 16:20:45.300000,49.954698,49.951371,49.9530345,128,1410
2021-10-20 16:20:45.320000,49.955399,49.95752,49.9564595,128,1410
2021-10-20 16:20:45.340000,49.955102,49.954449,49.9547755,128,1410
2021-10-20 16:20:45.360000,49.954379,49.954451,49.954415,128,1410
2021-10-20 16:20:45.380000,49.954681,49.951119,49.9529,128,1410
2021-10-20 16:20:45.400000,49.955227,49.954555,49.954891,128,1410
