Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CIO,Potencia,Inicio
2021-09-16 08:50:51.480000,50.118185,50.117022,50.1176035,122,2910
2021-09-16 08:50:51.500000,50.118157,50.117907,50.118032,122,2910
2021-09-16 08:50:51.520000,50.117945,50.119012,50.118478499999995,122,2910
2021-09-16 08:50:51.540000,50.118111,50.118368,50.1182395,122,2910
2021-09-16 08:50:51.560000,50.118357,50.117336,50.1178465,122,2910
2021-09-16 08:50:51.580000,50.11912,50.117414,50.118267,122,2910
2021-09-16 08:50:51.600000,50.119278,50.117761,50.118519500000005,122,2910
2021-09-16 08:50:51.620000,50.117736,50.117421,50.1175785,122,2910
2021-09-16 08:50:51.640000,50.115847,50.116741,50.116293999999996,122,2910
2021-09-16 08:50:51.660000,50.114857,50.11581,50.115333500000006,122,2910
2021-09-16 08:50:51.680000,50.115214,50.116017,50.115615500000004,122,2910
2021-09-16 08:50:51.700000,50.116204,50.117186,50.116695,122,2910
2021-09-16 08:50:51.720000,50.117315,50.117199,50.117256999999995,122,2910
2021-09-16 08:50:51.740000,50.117759,50.115656,50.116707500000004,122,2910
2021-09-16 08:50:51.760000,50.117412,50.115168,50.11629,122,2910
2021-09-16 08:50:51.780000,50.116783,50.116287,50.116535,122,2910
2021-09-16 08:50:51.800000,50.115787,50.117049,50.116417999999996,122,2910
2021-09-16 08:50:51.820000,50.115149,50.116576,50.115862500000006,122,2910
2021-09-16 08:50:51.840000,50.115755,50.115263,50.115509,122,2910
2021-09-16 08:50:51.860000,50.116721,50.113884,50.1153025,122,2910
2021-09-16 08:50:51.880000,50.115894,50.113531,50.114712499999996,122,2910
2021-09-16 08:50:51.900000,50.113865,50.114294,50.1140795,122,2910
2021-09-16 08:50:51.920000,50.113384,50.114173,50.1137785,122,2910
2021-09-16 08:50:51.940000,50.114055,50.113118,50.1135865,122,2910
2021-09-16 08:50:51.960000,50.113829,50.113661,50.113745,122,2910
2021-09-16 08:50:51.980000,50.113568,50.115488,50.114528,122,2910
2021-09-16 08:50:52.000000,50.114287,50.116137,50.115212,122,2910
2021-09-16 08:50:52.020000,50.115726,50.114886,50.115306000000004,122,2910
2021-09-16 08:50:52.040000,50.115194,50.113345,50.114269500000006,122,2910
