ID,Name,TRAIN_ms_dtw,TRAIN_ms_euc,TEST_ms_dtw,TEST_ms_euc,TRAIN_di_dtw,TRAIN_di_euc,TEST_di_dtw,TEST_di_euc,TRAIN_ga_dtw,TRAIN_ga_euc,TEST_ga_dtw,TEST_ga_euc
1,Adiac,-0.03826442793590801,-0.050783513479908025,-0.020319691929382103,-0.04959802647425017,0.0005537683832531807,0.008050802970513051,0.0006713537032708713,0.00820896574757094,0.6791757609827035,0.5476546274399176,0.7033393225133006,0.5442417132466832
2,ArrowHead,0.12977299929139796,0.15047373978440462,-0.0648069149483523,0.05186072427252141,0.004517571610811699,0.08775232973128921,0.0014468726227375322,0.04962894051704544,0.3591002618780397,0.4284745604190049,0.22722121202041234,0.22839214858340026
3,Beef,-0.20955655975617765,-0.0789992412624001,-0.22170991377310592,-0.09614985795046538,0.00039566833934749526,0.02109152304824616,0.0006607610561090578,0.02998224869487961,0.13503703703703704,0.16792592592592592,0.12555555555555556,0.156
4,BeetleFly,0.14668556690096077,0.01547910619306958,0.14308842404021305,0.05371987428578471,0.15736981315453089,0.5770164057823107,0.19095096773140008,0.4014614168723925,0.25666666666666665,0.023555555555555555,0.212,0.236
5,BirdChicken,0.062445821757295204,0.1001183997132122,0.11773735943050542,0.030153098059076865,0.04075046658730402,0.21908702863910323,0.035162013078317164,0.2236327542627988,0.08377777777777778,0.174,0.13111111111111112,0.03177777777777778
6,Car,-0.08051192735205724,0.01641513883453868,-0.08853379438834227,-0.02134257228061581,0.009953281226555573,0.09267676618314856,0.013062191999744588,0.0775375857155726,0.2718152030205732,0.2877012834663816,0.19780492073421138,0.20742182152764901
7,CBF,0.3764901280903417,0.045235835958470076,0.37930446440618026,0.07340759999703038,0.2170492450521152,0.44372426297274253,0.08082313173533721,0.32702385719703786,0.7306047054248493,0.331324129885281,0.7632932574679878,0.46268314022537554
10,Coffee,0.43204861300820013,0.27752309317035195,0.37083499238560547,0.2190883655849361,0.10457835245084224,0.3717651439949993,0.10819136764256528,0.3105775882851449,0.6422964790311729,0.6440906032742767,0.5542104525711083,0.45506515342580917
11,Computers,0.06771073227732831,-0.0004633429299507137,0.06153000384901663,0.009294461687775923,0.002446041216749827,0.14727212310372603,0.0031269540143207663,0.1845063550577089,0.07011935793548386,-0.011152623483870968,0.06680397625806452,0.021362159483870966
12,CricketX,-0.07935887171132343,-0.053046423238819085,-0.04188137180950363,-0.04940765884088572,0.009596152471702339,0.16661654857559605,0.01144024683581371,0.17481889583633722,0.3301681304281087,0.1467926051994916,0.34405684279005094,0.1284978400484805
13,CricketY,-0.1583910298574945,-0.04845236298595162,-0.13659266928321293,-0.03738156854610606,0.0061539344045377685,0.14585161033809718,0.007743986395430815,0.13470286047146893,0.3289529170379008,0.2192839698868133,0.37141910562497404,0.2708301678625756
14,CricketZ,-0.0634109109538633,-0.05090494072677494,-0.0648401345516985,-0.05319482627927854,0.007991990225746962,0.16367983431686572,0.014435142072383706,0.19005205143626913,0.31145549662037914,0.11795112346820631,0.36626584177384,0.1525730544083244
15,DiatomSizeReduction,0.6160267938480701,0.4833881102305306,0.534452170915577,0.4786906848247413,0.1592012538373862,0.5532023119342296,0.0008076682892242561,0.031381171812219485,0.8890902500906125,0.9217107647698441,0.8861283897575971,0.9184015057920941
16,DistalPhalanxOutlineAgeGroup,0.29999225884108055,0.2686406354075036,-0.009170640963804369,0.07664533814971859,0.004337186400417753,0.04499507958979939,0.003527159131513448,0.04481515727581231,0.5691059724775519,0.5449024713917883,0.28377994674531676,0.25140248750209576
17,DistalPhalanxOutlineCorrect,0.04839128855035148,0.0835034161271897,0.0932076120070149,0.06592313087582545,0.001115160769802547,0.02514424777578136,0.0008980534111769017,0.020416923001245414,0.09409458452618062,0.11269540829801417,0.11005373583368286,0.12444119700468842
18,DistalPhalanxTW,0.47493027221754014,0.35819194387378933,0.22753490127494197,0.1655797754429566,0.005903647342126315,0.06280462285634844,0.007461817579035146,0.07553063693640705,0.9477595246651914,0.9193733963168007,0.7707131718668782,0.6707153072991158
19,Earthquakes,-0.04044408271394165,0.00040358402438200365,-0.06412773214618474,0.00017033787379680833,0.030268132924400188,0.8410019821036177,0.05195653853708868,0.8469911837620708,-0.0410740134221007,0.012026430124545136,-0.09066081792514324,0.0011849518319019244
20,ECG200,0.18056630597395132,0.20932817914572519,0.12844607690396093,0.20578082957259095,0.015871330159399333,0.17299649187854682,0.005276752713206638,0.12963774083595764,0.24150913836296298,0.4504904511745,0.1841993548962795,0.4284569344713194
22,ECGFiveDays,0.13173059720247302,0.04314087883677525,0.11536773525431328,0.06535221559777707,0.031102737680477617,0.19028935053248308,0.010356801449696057,0.141142982192248,0.19522559680039994,0.08661417322834646,0.12376042656237611,0.08459321954359429
25,FaceFour,0.07490239643687352,0.06035734736683173,0.22931116937724647,0.10802856144183166,0.13222814510853273,0.36798642274617743,0.08783158478182146,0.3165727405551015,0.3677798781768536,0.5461737730168732,0.5010986905050085,0.5485923793385667
27,FiftyWords,-0.05688850703190778,-0.04264467526190531,-0.024608763423561802,-0.03338303692160872,0.0018934547568919314,0.14304927081482782,0.0013948453000067254,0.12082847450109953,0.7491705465220473,0.46312312476902096,0.8130696827934296,0.5160365426798961
28,Fish,-0.005463403281642202,0.009079377330923738,-0.08073530506827517,0.0004069387726293458,0.005715668745137458,0.07470860306199047,0.0005690512989383332,0.09276702736487023,0.40254481943721043,0.32064927753233047,0.4460524217497227,0.31678811314659616
