ID,Name,TRAIN_ms_dtw,TRAIN_ms_euc,TEST_ms_dtw,TEST_ms_euc,TRAIN_di_dtw,TRAIN_di_euc,TEST_di_dtw,TEST_di_euc,TRAIN_ga_dtw,TRAIN_ga_euc,TEST_ga_dtw,TEST_ga_euc
1,Adiac,-0.03826442968012286,-0.05078351351384904,-0.020319690258095872,-0.04959802643961594,0.0005537683845912229,0.008050802960439566,0.000671353698210857,0.008208965736689658,0.6791757335555917,0.5476546274399176,0.7033393225133006,0.5442417132466832
2,ArrowHead,0.1297729980641189,0.1504737397727822,-0.06480691490111576,0.05186072427015087,0.004517571845806199,0.08775232987372622,0.0014468726228964647,0.0496289404916447,0.3591002618780397,0.4284745604190049,0.22722121202041234,0.22839214858340026
3,Beef,-0.20955656011788867,-0.07899924137277758,-0.22170991366746015,-0.09614985790375172,0.00039566833522325416,0.021091523032072713,0.0006607610399800778,0.029982248719593155,0.13503703703703704,0.16792592592592592,0.12555555555555556,0.156
4,BeetleFly,0.1466855665157514,0.015479106211241577,0.1430884241205404,0.05371987427853982,0.15736981489380691,0.57701640561672,0.19095096742839418,0.4014614173519069,0.25666666666666665,0.023555555555555555,0.212,0.236
5,BirdChicken,0.06244582188468446,0.10011839973380496,0.11773735928620539,0.030153098062236473,0.040750466420410976,0.21908702885161457,0.0351620129675921,0.22363275469897528,0.08377777777777778,0.174,0.13111111111111112,0.03177777777777778
6,Car,-0.08051192728108394,0.016415138824237403,-0.08853379441690909,-0.021342572327863747,0.009953281138824583,0.09267676627967217,0.013062192290940319,0.07753758560291658,0.2718152030205732,0.2877012834663816,0.19780492073421138,0.20742182152764901
7,CBF,0.376490128072601,0.04523583600262828,0.37930446440627497,0.07340760000230702,0.21704924488667704,0.4437242615855888,0.08082313193605124,0.32702385686357677,0.7306047054248493,0.331324129885281,0.7632932575230402,0.4626831405556898
10,Coffee,0.43204861277787693,0.27752309317329427,0.37083499095245925,0.21908836554979752,0.1045783502979099,0.37176514407275296,0.1081913657050215,0.3105775880558016,0.6422964790311729,0.6440906032742767,0.5542104525711083,0.45506515342580917
11,Computers,0.06771073242936336,-0.000463342930494155,0.061530003624781435,0.00929446167534035,0.00244604112468697,0.14727212288802413,0.003126954118707294,0.18450635543219762,0.07011935793548386,-0.01115264,0.066803968,0.021362167741935483
12,CricketX,-0.07935887172355698,-0.053046423210897094,-0.041881371910275654,-0.04940765887698166,0.009596152488529807,0.1666165483520798,0.011440246789244097,0.17481889607258969,0.3301681304281087,0.1467926051994916,0.34405684279005094,0.12849784464853123
13,CricketY,-0.15839102991621037,-0.04845236297852715,-0.13659266906732326,-0.03738156849421703,0.006153934456817533,0.1458516104124467,0.007743986366873955,0.1347028602666735,0.3289529170379008,0.2192839698868133,0.371419096324454,0.27083017251283564
14,CricketZ,-0.063410910995276,-0.0509049406360321,-0.06484013461408718,-0.05319482624648791,0.007991990225025539,0.1636798348298625,0.014435142131350288,0.19005205114208643,0.31145550581110565,0.11795112806356957,0.36626584177384,0.15257304981296113
15,DiatomSizeReduction,0.6160267960602037,0.48338811047931063,0.5344521704193069,0.4786906848426152,0.15920126190242478,0.55320231200052,0.0008076682706940764,0.03138117184390698,0.8890902500906125,0.9217107647698441,0.8861283851495041,0.9184015057920941
16,DistalPhalanxOutlineAgeGroup,0.29999225897252546,0.26864063547430717,-0.009170641631783825,0.07664533825699255,0.004337186140276982,0.044995078829459745,0.003527159177002355,0.04481515747870214,0.5691059712212326,0.544902470135469,0.28377994674531676,0.25140248750209576
17,DistalPhalanxOutlineCorrect,0.048391288403262754,0.0835034160967512,0.09320761250091444,0.0659231309610919,0.0011151608182266282,0.02514424793658016,0.0008980534776363855,0.020416923141439506,0.09409458601912457,0.11269540954213411,0.1100537413917237,0.12444119700468842
18,DistalPhalanxTW,0.4749302721968427,0.3581919439301812,0.2275349017753033,0.16557977571998386,0.00590364925121227,0.06280462323855458,0.007461817623987284,0.07553063577163407,0.9477595232690488,0.9193733963168007,0.7707131718668782,0.6707153072991158
19,Earthquakes,-0.04044408243942925,0.0004035840083449503,-0.06412773244042634,0.00017033765390937712,0.030268132951368595,0.8410019804493997,0.05195653838871565,0.8469911851715417,-0.04107400983067641,0.012026412167423697,-0.09066081792514324,0.0011848595027892624
20,ECG200,0.18056630606997717,0.20932817917323537,0.1284460767062286,0.20578082956842472,0.01587132987454339,0.17299649297998615,0.005276752726087195,0.1296377405527281,0.24150913836296298,0.4504904511745,0.1841993548962795,0.4284569344713194
22,ECGFiveDays,0.13173059707766416,0.04314087877135579,0.11536773516443395,0.06535221559300357,0.031102737570842517,0.19028935113757947,0.01035680154863063,0.1411429820789793,0.19522559680039994,0.08661417322834646,0.12376042667910472,0.08459322001050873
25,FaceFour,0.07490239677188017,0.06035734732019051,0.22931116932544943,0.10802856146316862,0.13222814491165488,0.36798642191034325,0.08783158390499567,0.316572740679284,0.3677798781768536,0.5461737730168732,0.5010986905050085,0.5485923793385667
27,FiftyWords,-0.05688850676310613,-0.042644675178763476,-0.024608763482938306,-0.03338303690423944,0.001893454712890837,0.1430492705351377,0.0013948452613225834,0.12082847453859272,0.7491705465220473,0.46312311519215593,0.8130696784822743,0.5160365426798961
28,Fish,-0.005463402742091646,0.009079377327204732,-0.08073530487783369,0.00040693887231261057,0.005715668911879392,0.0747086031772597,0.0005690513203592649,0.09276702752720924,0.40254481943721043,0.32064927753233047,0.4460524217497227,0.31678811314659616
