Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-03-26 15:36:00.000000,50.227893,50.226329,50.228283,50.227039,50.227385999999996,171,2985
2022-03-26 15:36:00.020000,50.227893,50.226329,50.228283,50.227039,50.227385999999996,171,2985
2022-03-26 15:36:00.040000,50.227454,50.227194,50.228056,50.226881,50.22739625,171,2985
2022-03-26 15:36:00.060000,50.227171,50.22775,50.227392,50.226511,50.227205999999995,171,2985
2022-03-26 15:36:00.080000,50.227365,50.226857,50.227044,50.226757,50.22700575,171,2985
2022-03-26 15:36:00.100000,50.227416,50.224588,50.22684,50.226522,50.226341500000004,171,2985
2022-03-26 15:36:00.120000,50.227273,50.223487,50.226632,50.226513,50.22597625,171,2985
2022-03-26 15:36:00.140000,50.226875,50.224134,50.226462,50.226473,50.225986,171,2985
2022-03-26 15:36:00.160000,50.226696,50.224324,50.226434,50.226302,50.225939000000004,171,2985
2022-03-26 15:36:00.180000,50.22752,50.224152,50.22688,50.226966,50.2263795,171,2985
2022-03-26 15:36:00.200000,50.228272,50.224898,50.227122,50.22764,50.226983000000004,171,2985
2022-03-26 15:36:00.220000,50.227121,50.225921,50.227328,50.227554,50.226980999999995,171,2985
2022-03-26 15:36:00.240000,50.22575,50.226839,50.227501,50.22733,50.22685499999999,171,2985
2022-03-26 15:36:00.260000,50.22633,50.227505,50.227779,50.227116,50.2271825,171,2985
2022-03-26 15:36:00.280000,50.227401,50.227893,50.228126,50.226792,50.227553,171,2985
2022-03-26 15:36:00.300000,50.227183,50.226625,50.227929,50.226208,50.226986249999996,171,2985
2022-03-26 15:36:00.320000,50.226612,50.225228,50.227226,50.225792,50.2262145,171,2985
2022-03-26 15:36:00.340000,50.226473,50.226014,50.227057,50.226741,50.22657125,171,2985
2022-03-26 15:36:00.360000,50.226431,50.226912,50.226421,50.227391,50.22678875,171,2985
2022-03-26 15:36:00.380000,50.226077,50.226088,50.225407,50.226708,50.22607,171,2985
2022-03-26 15:36:00.400000,50.225555,50.225453,50.225148,50.226041,50.22554925,171,2985
2022-03-26 15:36:00.420000,50.225996,50.226042,50.225443,50.226452,50.22598325,171,2985
2022-03-26 15:36:00.440000,50.226559,50.226774,50.225732,50.226188,50.226313250000004,171,2985
2022-03-26 15:36:00.460000,50.225774,50.227065,50.225833,50.225617,50.22607225,171,2985
2022-03-26 15:36:00.480000,50.224741,50.227588,50.225861,50.226157,50.22608675,171,2985
2022-03-26 15:36:00.500000,50.225069,50.227519,50.225905,50.226756,50.22631225,171,2985
2022-03-26 15:36:00.520000,50.226153,50.226815,50.225918,50.226735,50.22640525,171,2985
2022-03-26 15:36:00.540000,50.226522,50.226514,50.225831,50.226489,50.226338999999996,171,2985
2022-03-26 15:36:00.560000,50.226,50.226347,50.225527,50.226034,50.225977,171,2985
2022-03-26 15:36:00.580000,50.225343,50.225422,50.225655,50.2255,50.225480000000005,171,2985
