Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-03-29 12:40:41.140000,49.976613,49.979088,49.979711,49.978839,49.97856275,114,1965
2022-03-29 12:40:41.160000,49.975429,49.979438,49.979283,49.978429,49.978144750000006,114,1965
2022-03-29 12:40:41.180000,49.977156,49.978921,49.977972,49.978126,49.97804375,114,1965
2022-03-29 12:40:41.200000,49.979378,49.977284,49.97763,49.977462,49.9779385,114,1965
2022-03-29 12:40:41.220000,49.979025,49.975973,49.977849,49.977639,49.977621500000005,114,1965
2022-03-29 12:40:41.240000,49.977715,49.976217,49.978146,49.979268,49.9778365,114,1965
2022-03-29 12:40:41.260000,49.978215,49.977337,49.977884,49.979913,49.97833725,114,1965
2022-03-29 12:40:41.280000,49.979819,49.978464,49.977541,49.978412,49.978559,114,1965
2022-03-29 12:40:41.300000,49.979748,49.979889,49.978035,49.97815,49.9789555,114,1965
2022-03-29 12:40:41.320000,49.978445,49.981147,49.978993,49.979435,49.979504999999996,114,1965
2022-03-29 12:40:41.340000,49.978418,49.980486,49.979361,49.979577,49.9794605,114,1965
2022-03-29 12:40:41.360000,49.978771,49.978817,49.978365,49.978409,49.978590499999996,114,1965
2022-03-29 12:40:41.380000,49.978601,49.977617,49.977334,49.977395,49.977736750000005,114,1965
2022-03-29 12:40:41.400000,49.978995,49.976551,49.9775,49.978199,49.977811249999995,114,1965
2022-03-29 12:40:41.420000,49.979044,49.97605,49.979308,49.979972,49.9785935,114,1965
2022-03-29 12:40:41.440000,49.97831,49.976986,49.980935,49.97965,49.97897025,114,1965
2022-03-29 12:40:41.460000,49.977536,49.979397,49.980487,49.977718,49.978784499999996,114,1965
2022-03-29 12:40:41.480000,49.97746,49.981356,49.978689,49.977526,49.97875775,114,1965
2022-03-29 12:40:41.500000,49.978625,49.981301,49.978245,49.979542,49.979428250000005,114,1965
2022-03-29 12:40:41.520000,49.980138,49.979685,49.979033,49.980719,49.979893749999995,114,1965
2022-03-29 12:40:41.540000,49.979929,49.979481,49.979724,49.979921,49.97976375,114,1965
2022-03-29 12:40:41.560000,49.978685,49.981204,49.979535,49.97893,49.9795885,114,1965
2022-03-29 12:40:41.580000,49.978609,49.98014,49.979076,49.979211,49.979259,114,1965
2022-03-29 12:40:41.600000,49.979437,49.977177,49.979637,49.980206,49.97911425,114,1965
2022-03-29 12:40:41.620000,49.97943,49.978141,49.980792,49.98041,49.979693250000004,114,1965
2022-03-29 12:40:41.640000,49.978835,49.981348,49.981466,49.980802,49.98061274999999,114,1965
2022-03-29 12:40:41.660000,49.978845,49.982362,49.98153,49.981107,49.980961,114,1965
2022-03-29 12:40:41.680000,49.979879,49.981426,49.980442,49.981105,49.980712999999994,114,1965
2022-03-29 12:40:41.700000,49.980961,49.980759,49.979448,49.981354,49.980630500000004,114,1965
2022-03-29 12:40:41.720000,49.981207,49.97981,49.979823,49.981226,49.9805165,114,1965
2022-03-29 12:40:41.740000,49.981554,49.979365,49.980798,49.980199,49.980479,114,1965
2022-03-29 12:40:41.760000,49.982003,49.978532,49.981216,49.980334,49.98052125,114,1965
2022-03-29 12:40:41.780000,49.982426,49.977221,49.980888,49.98144,49.980493749999994,114,1965
2022-03-29 12:40:41.800000,49.983021,49.979448,49.980869,49.981554,49.981223,114,1965
