Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-02-09 02:18:01.260000,50.091183,50.092546,50.092101,50.091943333333326,155,2730
2022-02-09 02:18:01.280000,50.091481,50.092466,50.092436,50.09212766666667,155,2730
2022-02-09 02:18:01.300000,50.093019,50.092666,50.092965,50.09288333333333,155,2730
2022-02-09 02:18:01.320000,50.092766,50.092565,50.092652,50.092661,155,2730
2022-02-09 02:18:01.340000,50.092071,50.092436,50.092517,50.09234133333333,155,2730
2022-02-09 02:18:01.360000,50.091957,50.092452,50.092994,50.092467666666664,155,2730
2022-02-09 02:18:01.380000,50.092044,50.092346,50.092999,50.092463,155,2730
2022-02-09 02:18:01.400000,50.09218,50.091889,50.092134,50.09206766666667,155,2730
2022-02-09 02:18:01.420000,50.092108,50.091404,50.091595,50.09170233333333,155,2730
2022-02-09 02:18:01.440000,50.091403,50.090987,50.091549,50.09131299999999,155,2730
2022-02-09 02:18:01.460000,50.090872,50.090651,50.091595,50.091039333333335,155,2730
2022-02-09 02:18:01.480000,50.091315,50.090474,50.091598,50.091129,155,2730
2022-02-09 02:18:01.500000,50.091679,50.090625,50.091909,50.09140433333334,155,2730
2022-02-09 02:18:01.520000,50.090651,50.091254,50.091895,50.09126666666666,155,2730
2022-02-09 02:18:01.540000,50.089643,50.091398,50.090154,50.090398333333326,155,2730
2022-02-09 02:18:01.560000,50.090742,50.091104,50.08941,50.090418666666665,155,2730
2022-02-09 02:18:01.580000,50.092095,50.091162,50.090612,50.09128966666666,155,2730
2022-02-09 02:18:01.600000,50.091046,50.091296,50.091315,50.091219,155,2730
2022-02-09 02:18:01.620000,50.089146,50.090814,50.090493,50.090151,155,2730
2022-02-09 02:18:01.640000,50.089235,50.090054,50.09061,50.08996633333334,155,2730
2022-02-09 02:18:01.660000,50.09068,50.090077,50.09109,50.09061566666667,155,2730
2022-02-09 02:18:01.680000,50.090876,50.090436,50.090179,50.090497,155,2730
2022-02-09 02:18:01.700000,50.089853,50.090709,50.090242,50.090268,155,2730
2022-02-09 02:18:01.720000,50.089265,50.090658,50.091318,50.09041366666667,155,2730
2022-02-09 02:18:01.740000,50.08994,50.09023,50.090638,50.09026933333333,155,2730
2022-02-09 02:18:01.760000,50.090675,50.089947,50.089795,50.090139,155,2730
2022-02-09 02:18:01.780000,50.090373,50.090416,50.090197,50.090328666666665,155,2730
2022-02-09 02:18:01.800000,50.089384,50.091341,50.090309,50.09034466666666,155,2730
2022-02-09 02:18:01.820000,50.089321,50.091754,50.089856,50.09031033333333,155,2730
2022-02-09 02:18:01.840000,50.089852,50.090981,50.08951,50.09011433333333,155,2730
2022-02-09 02:18:01.860000,50.089806,50.089263,50.089213,50.08942733333333,155,2730
2022-02-09 02:18:01.880000,50.089004,50.088166,50.089294,50.088821333333335,155,2730
2022-02-09 02:18:01.900000,50.088347,50.087996,50.089734,50.088692333333334,155,2730
2022-02-09 02:18:01.920000,50.089287,50.088169,50.089709,50.089055,155,2730
2022-02-09 02:18:01.940000,50.090307,50.088283,50.0889,50.08916333333334,155,2730
2022-02-09 02:18:01.960000,50.089215,50.088516,50.088402,50.088710999999996,155,2730
2022-02-09 02:18:01.980000,50.087673,50.089021,50.088629,50.088440999999996,155,2730
2022-02-09 02:18:02.000000,50.087625,50.089236,50.088829,50.08856333333333,155,2730
2022-02-09 02:18:02.020000,50.088114,50.089209,50.088956,50.08875966666667,155,2730
2022-02-09 02:18:02.040000,50.088142,50.08932,50.088667,50.08870966666666,155,2730
2022-02-09 02:18:02.060000,50.087992,50.089301,50.088182,50.08849166666666,155,2730
2022-02-09 02:18:02.080000,50.087964,50.08907,50.087957,50.08833033333334,155,2730
2022-02-09 02:18:02.100000,50.088454,50.088597,50.088277,50.08844266666667,155,2730
2022-02-09 02:18:02.120000,50.088967,50.088028,50.088373,50.088456,155,2730
2022-02-09 02:18:02.140000,50.087721,50.087296,50.087928,50.087648333333334,155,2730
2022-02-09 02:18:02.160000,50.086004,50.086446,50.087891,50.08678033333333,155,2730
