Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-05-25 16:56:20.000000,49.934963,49.933029,49.932338,49.933307,49.93340925,300,2250
2022-05-25 16:56:20.020000,49.934963,49.933029,49.932338,49.933307,49.93340925,300,2250
2022-05-25 16:56:20.040000,49.935097,49.932286,49.931272,49.932714,49.93284225,300,2250
2022-05-25 16:56:20.060000,49.933746,49.931263,49.930856,49.930278,49.931535749999995,300,2250
2022-05-25 16:56:20.080000,49.932527,49.931342,49.93131,49.930547,49.931431499999995,300,2250
2022-05-25 16:56:20.100000,49.932549,49.931655,49.931788,49.933261,49.93231325000001,300,2250
2022-05-25 16:56:20.120000,49.932427,49.930858,49.931236,49.932908,49.93185724999999,300,2250
2022-05-25 16:56:20.140000,49.931374,49.929648,49.930529,49.930296,49.93046175,300,2250
2022-05-25 16:56:20.160000,49.932026,49.93017,49.931293,49.931837,49.9313315,300,2250
2022-05-25 16:56:20.180000,49.933972,49.930301,49.932288,49.93356,49.93253025,300,2250
2022-05-25 16:56:20.200000,49.933273,49.928455,49.931403,49.930951,49.9310205,300,2250
2022-05-25 16:56:20.220000,49.931276,49.92894,49.930212,49.929207,49.929908749999996,300,2250
2022-05-25 16:56:20.240000,49.930805,49.931325,49.930156,49.930455,49.930685249999996,300,2250
2022-05-25 16:56:20.260000,49.930854,49.932013,49.931073,49.931927,49.93146675,300,2250
2022-05-25 16:56:20.280000,49.930022,49.930234,49.931067,49.930033,49.930339,300,2250
2022-05-25 16:56:20.300000,49.929351,49.928787,49.930051,49.928276,49.92911624999999,300,2250
2022-05-25 16:56:20.320000,49.930616,49.931131,49.930585,49.931535,49.93096675,300,2250
2022-05-25 16:56:20.340000,49.931763,49.931917,49.930994,49.933237,49.931977749999994,300,2250
2022-05-25 16:56:20.360000,49.931033,49.928847,49.929812,49.928854,49.9296365,300,2250
2022-05-25 16:56:20.380000,49.929698,49.928357,49.929354,49.925746,49.92828875,300,2250
2022-05-25 16:56:20.400000,49.927974,49.930048,49.928678,49.92661,49.928327499999995,300,2250
2022-05-25 16:56:20.420000,49.926943,49.929675,49.927674,49.928497,49.92819725,300,2250
2022-05-25 16:56:20.440000,49.928042,49.928416,49.927867,49.930018,49.928585749999996,300,2250
2022-05-25 16:56:20.460000,49.92951,49.929139,49.928978,49.931047,49.9296685,300,2250
2022-05-25 16:56:20.480000,49.930219,49.931431,49.930166,49.931539,49.93083874999999,300,2250
2022-05-25 16:56:20.500000,49.929209,49.930774,49.929615,49.929125,49.92968075,300,2250
2022-05-25 16:56:20.520000,49.928129,49.928769,49.928727,49.926107,49.927933,300,2250
2022-05-25 16:56:20.540000,49.928978,49.930087,49.929451,49.928542,49.9292645,300,2250
2022-05-25 16:56:20.560000,49.928813,49.931038,49.929586,49.930563,49.93,300,2250
2022-05-25 16:56:20.580000,49.927221,49.929264,49.928403,49.928274,49.9282905,300,2250
