Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CL_Santiago_USACH,CIO,Potencia,Inicio
2022-09-15 20:03:30.000000,50.054862,50.05683,50.055668,50.056519,50.05596975,114,2235
2022-09-15 20:03:30.020000,50.054862,50.05683,50.055668,50.056519,50.05596975,114,2235
2022-09-15 20:03:30.040000,50.054615,50.05612,50.055527,50.056411,50.055668250000004,114,2235
2022-09-15 20:03:30.060000,50.055532,50.055207,50.055492,50.054839,50.0552675,114,2235
2022-09-15 20:03:30.080000,50.056045,50.055795,50.055279,50.056261,50.055845000000005,114,2235
2022-09-15 20:03:30.100000,50.056086,50.056456,50.055525,50.05486,50.05573175,114,2235
2022-09-15 20:03:30.120000,50.05625,50.055692,50.055995,50.053081,50.0552545,114,2235
2022-09-15 20:03:30.140000,50.055626,50.054265,50.05612,50.059559,50.0563925,114,2235
2022-09-15 20:03:30.160000,50.054984,50.054419,50.05584,50.053483,50.0546815,114,2235
2022-09-15 20:03:30.180000,50.054563,50.054898,50.05584,50.05498,50.05507025,114,2235
2022-09-15 20:03:30.200000,50.053787,50.054118,50.055828,50.05695,50.05517075,114,2235
2022-09-15 20:03:30.220000,50.054336,50.054103,50.056065,50.052791,50.054323749999995,114,2235
2022-09-15 20:03:30.240000,50.056102,50.055442,50.05619,50.057796,50.0563825,114,2235
2022-09-15 20:03:30.260000,50.056912,50.055959,50.056258,50.056363,50.056373,114,2235
2022-09-15 20:03:30.280000,50.056825,50.054783,50.056122,50.052923,50.05516325,114,2235
2022-09-15 20:03:30.300000,50.056231,50.054022,50.056025,50.055712,50.0554975,114,2235
2022-09-15 20:03:30.320000,50.056102,50.055442,50.056165,50.055392,50.055775249999996,114,2235
2022-09-15 20:03:30.340000,50.056083,50.056253,50.056252,50.05475,50.0558345,114,2235
2022-09-15 20:03:30.360000,50.056069,50.055278,50.056077,50.057627,50.056262749999995,114,2235
2022-09-15 20:03:30.380000,50.056362,50.054944,50.055738,50.052084,50.054782,114,2235
2022-09-15 20:03:30.400000,50.056806,50.055431,50.055281,50.056261,50.05594475,114,2235
2022-09-15 20:03:30.420000,50.05625,50.055498,50.055225,50.055113,50.055521500000005,114,2235
2022-09-15 20:03:30.440000,50.055708,50.054907,50.055352,50.055703,50.0554175,114,2235
2022-09-15 20:03:30.460000,50.056555,50.054833,50.055431,50.056811,50.0559075,114,2235
2022-09-15 20:03:30.480000,50.056792,50.055616,50.055466,50.055535,50.05585225,114,2235
2022-09-15 20:03:30.500000,50.055566,50.055412,50.05532,50.053619,50.054979249999995,114,2235
2022-09-15 20:03:30.520000,50.055134,50.054971,50.055186,50.057224,50.05562875,114,2235
2022-09-15 20:03:30.540000,50.056116,50.05561,50.055314,50.053773,50.055203250000005,114,2235
2022-09-15 20:03:30.560000,50.056372,50.055992,50.055648,50.057082,50.0562735,114,2235
2022-09-15 20:03:30.580000,50.056055,50.055716,50.056064,50.057482,50.05632925,114,2235
2022-09-15 20:03:30.600000,50.056411,50.055621,50.05616,50.053745,50.05548425,114,2235
2022-09-15 20:03:30.620000,50.056,50.056251,50.05607,50.057234,50.056388749999996,114,2235
2022-09-15 20:03:30.640000,50.055741,50.056445,50.055965,50.056364,50.05612875,114,2235
2022-09-15 20:03:30.660000,50.055982,50.055426,50.056042,50.055137,50.05564675,114,2235
2022-09-15 20:03:30.680000,50.054921,50.055009,50.056283,50.056962,50.05579375,114,2235
