Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-06-27 01:09:00.000000,50.042773,50.041217,50.043008,50.0,50.043043,50.0340082,201,2895
2022-06-27 01:09:00.020000,50.042773,50.041217,50.043008,50.0,50.043043,50.0340082,201,2895
2022-06-27 01:09:00.040000,50.04257,50.041736,50.042857,50.0,50.042835,50.0339996,201,2895
2022-06-27 01:09:00.060000,50.041749,50.042518,50.042661,50.0,50.042476,50.033880800000006,201,2895
2022-06-27 01:09:00.080000,50.041954,50.042861,50.042759,50.0,50.042624,50.03403959999999,201,2895
2022-06-27 01:09:00.100000,50.042388,50.043223,50.042732,50.0,50.042909,50.034250400000005,201,2895
2022-06-27 01:09:00.120000,50.041865,50.044264,50.04245,50.0,50.042928,50.034301400000004,201,2895
2022-06-27 01:09:00.140000,50.041301,50.044885,50.042552,50.0,50.042823,50.0343122,201,2895
2022-06-27 01:09:00.160000,50.042102,50.04393,50.042567,50.0,50.042583,50.034236400000005,201,2895
2022-06-27 01:09:00.180000,50.043084,50.042069,50.042411,50.0,50.042363,50.0339854,201,2895
2022-06-27 01:09:00.200000,50.043107,50.041375,50.042074,50.041338,50.042271,50.042032999999996,201,2895
2022-06-27 01:09:00.220000,50.042516,50.041296,50.041336,50.043815,50.042168,50.0422262,201,2895
2022-06-27 01:09:00.240000,50.042516,50.040236,50.041079,50.043815,50.04193,50.0419152,201,2895
2022-06-27 01:09:00.260000,50.042516,50.039274,50.041815,50.043815,50.041928,50.0418696,201,2895
2022-06-27 01:09:00.280000,50.042516,50.039958,50.042354,50.043815,50.041998,50.04212819999999,201,2895
2022-06-27 01:09:00.300000,50.042516,50.040967,50.042354,50.041528,50.041764,50.0418258,201,2895
2022-06-27 01:09:00.320000,50.043792,50.041098,50.042354,50.041528,50.041743,50.042103000000004,201,2895
2022-06-27 01:09:00.340000,50.043792,50.041773,50.042354,50.041528,50.041855,50.0422604,201,2895
2022-06-27 01:09:00.360000,50.043792,50.042819,50.042354,50.041528,50.041472,50.042393,201,2895
2022-06-27 01:09:00.380000,50.043792,50.042292,50.04161,50.041056,50.041093,50.0419686,201,2895
2022-06-27 01:09:00.400000,50.043792,50.040875,50.04181,50.040342,50.040935,50.041550799999996,201,2895
2022-06-27 01:09:00.420000,50.043792,50.040806,50.041977,50.040342,50.040911,50.0415656,201,2895
2022-06-27 01:09:00.440000,50.043792,50.041171,50.041547,50.040342,50.040758,50.041522,201,2895
2022-06-27 01:09:00.460000,50.042013,50.040112,50.040533,50.041908,50.040487,50.04101060000001,201,2895
2022-06-27 01:09:00.480000,50.041435,50.039009,50.040195,50.040306,50.040566,50.0403022,201,2895
2022-06-27 01:09:00.500000,50.040977,50.039819,50.040458,50.039861,50.04047,50.040317,201,2895
2022-06-27 01:09:00.520000,50.041032,50.040496,50.040616,50.041055,50.040312,50.0407022,201,2895
2022-06-27 01:09:00.540000,50.041125,50.039736,50.040616,50.038546,50.040539,50.0401124,201,2895
2022-06-27 01:09:00.560000,50.040905,50.039565,50.040616,50.041537,50.040445,50.0406136,201,2895
2022-06-27 01:09:00.580000,50.041242,50.040606,50.040616,50.038741,50.04024,50.040288999999994,201,2895
2022-06-27 01:09:00.600000,50.042036,50.040633,50.040615,50.040907,50.040295,50.0408972,201,2895
2022-06-27 01:09:00.620000,50.041662,50.040074,50.041,50.03987,50.040479,50.040617000000005,201,2895
2022-06-27 01:09:00.640000,50.041662,50.040297,50.040992,50.039991,50.040135,50.04061539999999,201,2895
2022-06-27 01:09:00.660000,50.041662,50.04075,50.040691,50.038926,50.039639,50.040333600000004,201,2895
2022-06-27 01:09:00.680000,50.041662,50.039695,50.040691,50.038324,50.039472,50.0399688,201,2895
2022-06-27 01:09:00.700000,50.041662,50.037593,50.040691,50.039426,50.038995,50.0396734,201,2895
2022-06-27 01:09:00.720000,50.039907,50.037421,50.039565,50.039306,50.038344,50.0389086,201,2895
2022-06-27 01:09:00.740000,50.039509,50.038898,50.039626,50.039046,50.038435,50.0391028,201,2895
2022-06-27 01:09:00.760000,50.039259,50.040074,50.039732,50.04126,50.039372,50.039939399999994,201,2895
2022-06-27 01:09:00.780000,50.038443,50.040162,50.039732,50.038731,50.039543,50.0393222,201,2895
2022-06-27 01:09:00.800000,50.037306,50.040037,50.039732,50.039703,50.039102,50.039176,201,2895
2022-06-27 01:09:00.820000,50.037582,50.03987,50.037766,50.038125,50.038896,50.0384478,201,2895
2022-06-27 01:09:00.840000,50.038713,50.039158,50.037423,50.040338,50.039358,50.038998,201,2895
2022-06-27 01:09:00.860000,50.03923,50.03856,50.037423,50.037833,50.039636,50.0385364,201,2895
2022-06-27 01:09:00.880000,50.03923,50.037931,50.037423,50.040371,50.039201,50.0388312,201,2895
2022-06-27 01:09:00.900000,50.03923,50.037055,50.038999,50.036833,50.038305,50.0380844,201,2895
2022-06-27 01:09:00.920000,50.03923,50.036426,50.038607,50.039065,50.037938,50.0382532,201,2895
2022-06-27 01:09:00.940000,50.03923,50.036476,50.037888,50.038444,50.037815,50.0379706,201,2895
2022-06-27 01:09:00.960000,50.03923,50.037102,50.037888,50.036954,50.037678,50.03777040000001,201,2895
2022-06-27 01:09:00.980000,50.03923,50.037504,50.037888,50.038213,50.037818,50.0381306,201,2895
2022-06-27 01:09:01.000000,50.037943,50.037139,50.039063,50.038426,50.037899,50.03809400000001,201,2895
2022-06-27 01:09:01.020000,50.036582,50.037352,50.037915,50.036926,50.037461,50.0372472,201,2895
2022-06-27 01:09:01.040000,50.035453,50.03851,50.037181,50.037241,50.036926,50.037062199999994,201,2895
2022-06-27 01:09:01.060000,50.035034,50.03874,50.037011,50.037685,50.036866,50.0370672,201,2895
2022-06-27 01:09:01.080000,50.034825,50.037607,50.036242,50.037315,50.037118,50.0366214,201,2895
2022-06-27 01:09:01.100000,50.035656,50.036968,50.03542,50.036,50.037056,50.03622,201,2895
2022-06-27 01:09:01.120000,50.037361,50.037194,50.03499,50.036908,50.036685,50.0366276,201,2895
2022-06-27 01:09:01.140000,50.037394,50.036426,50.03507,50.035611,50.036371,50.0361744,201,2895
