Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-05-10 03:52:56.260000,49.988836,49.988795,49.989936,49.989189,73,1695
2022-05-10 03:52:56.280000,49.989347,49.989854,49.991864,49.990355,73,1695
2022-05-10 03:52:56.300000,49.989165,49.989897,49.990663,49.989908333333325,73,1695
2022-05-10 03:52:56.320000,49.989237,49.988293,49.987513,49.98834766666667,73,1695
2022-05-10 03:52:56.340000,49.98882,49.987874,49.986863,49.98785233333333,73,1695
2022-05-10 03:52:56.360000,49.988297,49.98972,49.990139,49.98938533333333,73,1695
2022-05-10 03:52:56.380000,49.988345,49.990546,49.990569,49.98982,73,1695
2022-05-10 03:52:56.400000,49.988754,49.989596,49.988175,49.988841666666666,73,1695
2022-05-10 03:52:56.420000,49.989358,49.989185,49.988325,49.988956,73,1695
2022-05-10 03:52:56.440000,49.988707,49.989344,49.989055,49.989035333333334,73,1695
2022-05-10 03:52:56.460000,49.987277,49.98881,49.988566,49.988217666666664,73,1695
2022-05-10 03:52:56.480000,49.987679,49.988204,49.988372,49.988085000000005,73,1695
2022-05-10 03:52:56.500000,49.988337,49.988139,49.987584,49.98802,73,1695
2022-05-10 03:52:56.520000,49.988651,49.988718,49.988445,49.98860466666667,73,1695
2022-05-10 03:52:56.540000,49.989674,49.988554,49.988772,49.989,73,1695
2022-05-10 03:52:56.560000,49.988773,49.987501,49.985763,49.98734566666667,73,1695
2022-05-10 03:52:56.580000,49.986808,49.98829,49.985856,49.98698466666667,73,1695
2022-05-10 03:52:56.600000,49.987055,49.989971,49.989086,49.988704000000006,73,1695
2022-05-10 03:52:56.620000,49.987964,49.989247,49.989193,49.988801333333335,73,1695
2022-05-10 03:52:56.640000,49.986664,49.98756,49.987262,49.98716199999999,73,1695
2022-05-10 03:52:56.660000,49.986083,49.988043,49.987356,49.98716066666666,73,1695
2022-05-10 03:52:56.680000,49.987096,49.988096,49.988027,49.98773966666666,73,1695
2022-05-10 03:52:56.700000,49.987027,49.986058,49.986738,49.986607666666664,73,1695
2022-05-10 03:52:56.720000,49.986264,49.985725,49.985605,49.985864666666664,73,1695
