Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-04-14 16:00:01.140000,49.970509,49.969161,49.969889,49.971007,49.9701415,98,2325
2022-04-14 16:00:01.160000,49.970408,49.969069,49.969583,49.969794,49.969713500000005,98,2325
2022-04-14 16:00:01.180000,49.969643,49.969014,49.968639,49.968995,49.96907275,98,2325
2022-04-14 16:00:01.200000,49.969056,49.968612,49.970074,49.96946,49.969300499999996,98,2325
2022-04-14 16:00:01.220000,49.969291,49.968792,49.967639,49.969736,49.968864499999995,98,2325
2022-04-14 16:00:01.240000,49.96924,49.97,49.971454,49.969288,49.9699955,98,2325
2022-04-14 16:00:01.260000,49.96892,49.971014,49.971454,49.96945,49.970209499999996,98,2325
2022-04-14 16:00:01.280000,49.969756,49.970713,49.971454,49.970455,49.970594500000004,98,2325
2022-04-14 16:00:01.300000,49.970824,49.970102,49.971454,49.970632,49.970752999999995,98,2325
2022-04-14 16:00:01.320000,49.970235,49.970695,49.969852,49.970095,49.97021925,98,2325
2022-04-14 16:00:01.340000,49.968653,49.97137,49.969537,49.969641,49.96980025,98,2325
2022-04-14 16:00:01.360000,49.968671,49.970041,49.968037,49.969059,49.968952,98,2325
2022-04-14 16:00:01.380000,49.970472,49.968634,49.969778,49.969215,49.96952475,98,2325
2022-04-14 16:00:01.400000,49.970467,49.969476,49.968973,49.969859,49.969693750000005,98,2325
2022-04-14 16:00:01.420000,49.968929,49.970144,49.970166,49.969664,49.96972575,98,2325
2022-04-14 16:00:01.440000,49.969351,49.969848,49.971231,49.969369,49.969949750000005,98,2325
2022-04-14 16:00:01.460000,49.970172,49.969611,49.971231,49.970163,49.97029425000001,98,2325
2022-04-14 16:00:01.480000,49.969241,49.969148,49.971231,49.970431,49.97001275,98,2325
2022-04-14 16:00:01.500000,49.968731,49.968875,49.971231,49.969209,49.9695115,98,2325
2022-04-14 16:00:01.520000,49.969713,49.968551,49.969583,49.969098,49.96923625,98,2325
2022-04-14 16:00:01.540000,49.970482,49.968694,49.969074,49.970666,49.969729,98,2325
2022-04-14 16:00:01.560000,49.969722,49.969866,49.971111,49.971589,49.970572,98,2325
