Time Stamp,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-01-07 03:22:01.480000,50.018934,50.017973,50.0184535,360,3780
2022-01-07 03:22:01.500000,50.0186,50.018177,50.0183885,360,3780
2022-01-07 03:22:01.520000,50.017903,50.018053,50.017978,360,3780
2022-01-07 03:22:01.540000,50.017389,50.017402,50.0173955,360,3780
2022-01-07 03:22:01.560000,50.017335,50.016709,50.017022,360,3780
2022-01-07 03:22:01.580000,50.01737,50.017048,50.017209,360,3780
2022-01-07 03:22:01.600000,50.017039,50.017377,50.017208,360,3780
2022-01-07 03:22:01.620000,50.016797,50.016536,50.0166665,360,3780
2022-01-07 03:22:01.640000,50.016621,50.015094,50.015857499999996,360,3780
2022-01-07 03:22:01.660000,50.015972,50.014287,50.0151295,360,3780
2022-01-07 03:22:01.680000,50.014945,50.014367,50.014656,360,3780
2022-01-07 03:22:01.700000,50.014221,50.01447,50.014345500000005,360,3780
2022-01-07 03:22:01.720000,50.014054,50.014369,50.0142115,360,3780
2022-01-07 03:22:01.740000,50.013904,50.014253,50.0140785,360,3780
2022-01-07 03:22:01.760000,50.013473,50.013712,50.0135925,360,3780
2022-01-07 03:22:01.780000,50.013269,50.013518,50.0133935,360,3780
2022-01-07 03:22:01.800000,50.013533,50.013987,50.013760000000005,360,3780
2022-01-07 03:22:01.820000,50.013833,50.014505,50.014168999999995,360,3780
2022-01-07 03:22:01.840000,50.013644,50.014751,50.014197499999995,360,3780
2022-01-07 03:22:01.860000,50.013062,50.014147,50.0136045,360,3780
2022-01-07 03:22:01.880000,50.012468,50.013213,50.012840499999996,360,3780
2022-01-07 03:22:01.900000,50.012056,50.012342,50.012198999999995,360,3780
2022-01-07 03:22:01.920000,50.012221,50.011746,50.0119835,360,3780
2022-01-07 03:22:01.940000,50.012823,50.012315,50.012569,360,3780
2022-01-07 03:22:01.960000,50.012861,50.012908,50.0128845,360,3780
2022-01-07 03:22:01.980000,50.012768,50.012701,50.0127345,360,3780
2022-01-07 03:22:02.000000,50.012609,50.012379,50.012494000000004,360,3780
2022-01-07 03:22:02.020000,50.012625,50.012816,50.0127205,360,3780
2022-01-07 03:22:02.040000,50.012651,50.013287,50.012969,360,3780
2022-01-07 03:22:02.060000,50.0127,50.013047,50.0128735,360,3780
2022-01-07 03:22:02.080000,50.012863,50.011911,50.012387000000004,360,3780
2022-01-07 03:22:02.100000,50.012658,50.01137,50.012014,360,3780
2022-01-07 03:22:02.120000,50.012028,50.01207,50.012049000000005,360,3780
2022-01-07 03:22:02.140000,50.011899,50.012632,50.0122655,360,3780
2022-01-07 03:22:02.160000,50.012099,50.012316,50.0122075,360,3780
2022-01-07 03:22:02.180000,50.012027,50.012244,50.0121355,360,3780
2022-01-07 03:22:02.200000,50.011693,50.012515,50.012104,360,3780
2022-01-07 03:22:02.220000,50.011805,50.012082,50.0119435,360,3780
2022-01-07 03:22:02.240000,50.011905,50.011457,50.011680999999996,360,3780
2022-01-07 03:22:02.260000,50.011935,50.011171,50.011553,360,3780
2022-01-07 03:22:02.280000,50.012324,50.011562,50.011943,360,3780
2022-01-07 03:22:02.300000,50.012314,50.01175,50.012032000000005,360,3780
2022-01-07 03:22:02.320000,50.012076,50.011506,50.011791,360,3780
2022-01-07 03:22:02.340000,50.011732,50.011271,50.0115015,360,3780
2022-01-07 03:22:02.360000,50.01073,50.010991,50.0108605,360,3780
2022-01-07 03:22:02.380000,50.010113,50.010849,50.010481,360,3780
2022-01-07 03:22:02.400000,50.010458,50.011077,50.0107675,360,3780
2022-01-07 03:22:02.420000,50.01086,50.01129,50.011075000000005,360,3780
2022-01-07 03:22:02.440000,50.010898,50.011052,50.010975,360,3780
2022-01-07 03:22:02.460000,50.010523,50.010668,50.0105955,360,3780
2022-01-07 03:22:02.480000,50.010583,50.010378,50.0104805,360,3780
2022-01-07 03:22:02.500000,50.011056,50.010473,50.0107645,360,3780
2022-01-07 03:22:02.520000,50.01101,50.010957,50.010983499999995,360,3780
2022-01-07 03:22:02.540000,50.010416,50.01095,50.010683,360,3780
2022-01-07 03:22:02.560000,50.009763,50.010178,50.0099705,360,3780
2022-01-07 03:22:02.580000,50.009282,50.009687,50.0094845,360,3780
2022-01-07 03:22:02.600000,50.009157,50.009961,50.009558999999996,360,3780
2022-01-07 03:22:02.620000,50.009485,50.009641,50.009563,360,3780
2022-01-07 03:22:02.640000,50.009823,50.0092,50.0095115,360,3780
2022-01-07 03:22:02.660000,50.01007,50.009219,50.0096445,360,3780
2022-01-07 03:22:02.680000,50.010265,50.009437,50.009851,360,3780
2022-01-07 03:22:02.700000,50.010225,50.009432,50.0098285,360,3780
2022-01-07 03:22:02.720000,50.009924,50.008698,50.009311,360,3780
2022-01-07 03:22:02.740000,50.009291,50.008439,50.008865,360,3780
2022-01-07 03:22:02.760000,50.009032,50.009097,50.009064499999994,360,3780
2022-01-07 03:22:02.780000,50.008912,50.0096,50.009256,360,3780
2022-01-07 03:22:02.800000,50.00827,50.009271,50.0087705,360,3780
2022-01-07 03:22:02.820000,50.007638,50.008615,50.0081265,360,3780
2022-01-07 03:22:02.840000,50.007873,50.009133,50.008503,360,3780
2022-01-07 03:22:02.860000,50.008626,50.00963,50.009128000000004,360,3780
2022-01-07 03:22:02.880000,50.008927,50.009252,50.0090895,360,3780
2022-01-07 03:22:02.900000,50.008596,50.008786,50.008691,360,3780
2022-01-07 03:22:02.920000,50.008263,50.008713,50.008488,360,3780
2022-01-07 03:22:02.940000,50.008234,50.0088,50.008517,360,3780
2022-01-07 03:22:02.960000,50.008702,50.008125,50.0084135,360,3780
2022-01-07 03:22:02.980000,50.009366,50.007856,50.008611,360,3780
2022-01-07 03:22:03.000000,50.009649,50.008425,50.009037000000006,360,3780
