Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CIO,Potencia,Inicio
2023-02-09 00:13:01.240000,50.024991,50.025901,50.026336,50.025742666666666,154,2550
2023-02-09 00:13:01.260000,50.024273,50.025956,50.026216,50.02548166666667,154,2550
2023-02-09 00:13:01.280000,50.026036,50.025198,50.026442,50.025892,154,2550
2023-02-09 00:13:01.300000,50.026959,50.025154,50.026281,50.02613133333333,154,2550
2023-02-09 00:13:01.320000,50.026514,50.024719,50.025941,50.02572466666667,154,2550
2023-02-09 00:13:01.340000,50.025968,50.024392,50.025651,50.025337,154,2550
2023-02-09 00:13:01.360000,50.024685,50.025121,50.025455,50.02508699999999,154,2550
2023-02-09 00:13:01.380000,50.02281,50.024579,50.02444,50.023943,154,2550
2023-02-09 00:13:01.400000,50.023416,50.023911,50.024108,50.02381166666667,154,2550
2023-02-09 00:13:01.420000,50.024467,50.023471,50.024603,50.024180333333334,154,2550
2023-02-09 00:13:01.440000,50.024103,50.022913,50.024453,50.023823,154,2550
2023-02-09 00:13:01.460000,50.024575,50.023942,50.024618,50.02437833333334,154,2550
2023-02-09 00:13:01.480000,50.024611,50.024166,50.023832,50.024203,154,2550
2023-02-09 00:13:01.500000,50.022694,50.022322,50.02235,50.02245533333333,154,2550
2023-02-09 00:13:01.520000,50.022694,50.022307,50.022029,50.02234333333333,154,2550
2023-02-09 00:13:01.540000,50.024028,50.023209,50.022404,50.02321366666666,154,2550
2023-02-09 00:13:01.560000,50.023749,50.023036,50.022397,50.02306066666667,154,2550
2023-02-09 00:13:01.580000,50.02302,50.021857,50.02216,50.022345666666666,154,2550
2023-02-09 00:13:01.600000,50.022454,50.020735,50.022169,50.021786,154,2550
2023-02-09 00:13:01.620000,50.021555,50.020607,50.021936,50.021366,154,2550
2023-02-09 00:13:01.640000,50.020888,50.020772,50.021044,50.020901333333335,154,2550
2023-02-09 00:13:01.660000,50.020454,50.02181,50.020572,50.02094533333334,154,2550
2023-02-09 00:13:01.680000,50.021515,50.024084,50.021422,50.02234033333334,154,2550
2023-02-09 00:13:01.700000,50.023102,50.023286,50.02174,50.02270933333333,154,2550
2023-02-09 00:13:01.720000,50.021921,50.020578,50.020232,50.020910333333326,154,2550
2023-02-09 00:13:01.740000,50.019926,50.021356,50.019308,50.02019666666666,154,2550
2023-02-09 00:13:01.760000,50.020061,50.022924,50.019857,50.02094733333333,154,2550
2023-02-09 00:13:01.780000,50.02049,50.02148,50.020303,50.02075766666667,154,2550
2023-02-09 00:13:01.800000,50.019384,50.019706,50.019856,50.01964866666666,154,2550
2023-02-09 00:13:01.820000,50.018273,50.019495,50.019242,50.01900333333333,154,2550
2023-02-09 00:13:01.840000,50.018793,50.019895,50.019369,50.01935233333334,154,2550
2023-02-09 00:13:01.860000,50.0205,50.020002,50.019952,50.02015133333333,154,2550
2023-02-09 00:13:01.880000,50.021467,50.019664,50.020213,50.02044800000001,154,2550
