Time Stamp,CL_Copiapó_UDA,CL_Curicó_UTALCA,CL_Santiago_USACH,CIO,Potencia,Inicio
2023-01-04 00:16:31.260000,49.920685,49.921501,49.924141,49.922109,103,2265
2023-01-04 00:16:31.280000,49.920416,49.921146,49.924572,49.92204466666667,103,2265
2023-01-04 00:16:31.300000,49.920291,49.920662,49.918353,49.91976866666667,103,2265
2023-01-04 00:16:31.320000,49.921065,49.921246,49.925829,49.92271333333333,103,2265
2023-01-04 00:16:31.340000,49.919695,49.920922,49.922495,49.921037333333324,103,2265
2023-01-04 00:16:31.360000,49.918329,49.919987,49.913885,49.917400333333326,103,2265
2023-01-04 00:16:31.380000,49.91869,49.919667,49.92127,49.91987566666666,103,2265
2023-01-04 00:16:31.400000,49.919111,49.920043,49.915542,49.91823200000001,103,2265
2023-01-04 00:16:31.420000,49.920129,49.921271,49.925413,49.922270999999995,103,2265
2023-01-04 00:16:31.440000,49.920519,49.921712,49.923196,49.921808999999996,103,2265
2023-01-04 00:16:31.460000,49.92012,49.920831,49.918875,49.91994199999999,103,2265
2023-01-04 00:16:31.480000,49.921203,49.920755,49.916409,49.91945566666667,103,2265
2023-01-04 00:16:31.500000,49.923022,49.922128,49.920394,49.921848000000004,103,2265
2023-01-04 00:16:31.520000,49.92226,49.922501,49.924308,49.923023,103,2265
2023-01-04 00:16:31.540000,49.919978,49.921,49.921693,49.92089033333334,103,2265
2023-01-04 00:16:31.560000,49.920272,49.919913,49.918062,49.91941566666666,103,2265
2023-01-04 00:16:31.580000,49.921545,49.921219,49.927204,49.92332266666667,103,2265
2023-01-04 00:16:31.600000,49.920719,49.922973,49.925582,49.92309133333333,103,2265
2023-01-04 00:16:31.620000,49.919556,49.922573,49.921945,49.921358,103,2265
2023-01-04 00:16:31.640000,49.920945,49.921425,49.918737,49.920369,103,2265
2023-01-04 00:16:31.660000,49.922504,49.921244,49.924306,49.92268466666667,103,2265
2023-01-04 00:16:31.680000,49.921902,49.921518,49.921956,49.921792,103,2265
2023-01-04 00:16:31.700000,49.9222,49.922706,49.923026,49.922644,103,2265
2023-01-04 00:16:31.720000,49.923842,49.923347,49.92697,49.92471966666667,103,2265
2023-01-04 00:16:31.740000,49.923685,49.922485,49.921385,49.922518333333336,103,2265
2023-01-04 00:16:31.760000,49.922278,49.921691,49.922066,49.92201166666666,103,2265
2023-01-04 00:16:31.780000,49.921685,49.92153,49.91626,49.919824999999996,103,2265
2023-01-04 00:16:31.800000,49.921699,49.921687,49.922773,49.922053,103,2265
2023-01-04 00:16:31.820000,49.92137,49.921968,49.92057,49.92130266666667,103,2265
2023-01-04 00:16:31.840000,49.92243,49.923022,49.918889,49.921447,103,2265
2023-01-04 00:16:31.860000,49.922241,49.923017,49.932065,49.92577433333333,103,2265
2023-01-04 00:16:31.880000,49.920085,49.920998,49.920824,49.92063566666667,103,2265
2023-01-04 00:16:31.900000,49.92195,49.920708,49.912398,49.918352,103,2265
2023-01-04 00:16:31.920000,49.924763,49.921937,49.922079,49.92292633333333,103,2265
2023-01-04 00:16:31.940000,49.923818,49.922307,49.923028,49.92305100000001,103,2265
2023-01-04 00:16:31.960000,49.922542,49.922467,49.927496,49.924168333333334,103,2265
2023-01-04 00:16:31.980000,49.922701,49.92279,49.921671,49.92238733333334,103,2265
2023-01-04 00:16:32.000000,49.923031,49.923206,49.919449,49.92189533333334,103,2265
2023-01-04 00:16:32.020000,49.922393,49.923481,49.924028,49.92330066666667,103,2265
2023-01-04 00:16:32.040000,49.920926,49.922927,49.922936,49.922262999999994,103,2265
2023-01-04 00:16:32.060000,49.921075,49.922369,49.922741,49.92206166666667,103,2265
2023-01-04 00:16:32.080000,49.921904,49.922512,49.922232,49.922216,103,2265
2023-01-04 00:16:32.100000,49.923153,49.92287,49.920416,49.92214633333333,103,2265
2023-01-04 00:16:32.120000,49.924791,49.922662,49.925037,49.92416333333333,103,2265
2023-01-04 00:16:32.140000,49.925232,49.922319,49.920412,49.922654333333334,103,2265
2023-01-04 00:16:32.160000,49.924921,49.922299,49.922074,49.923098,103,2265
2023-01-04 00:16:32.180000,49.924648,49.923262,49.92488,49.92426333333333,103,2265
2023-01-04 00:16:32.200000,49.922836,49.923425,49.923991,49.92341733333333,103,2265
2023-01-04 00:16:32.220000,49.920918,49.922362,49.922241,49.92184033333333,103,2265
2023-01-04 00:16:32.240000,49.921452,49.922214,49.920944,49.92153666666667,103,2265
2023-01-04 00:16:32.260000,49.922426,49.922711,49.922491,49.922542666666665,103,2265
2023-01-04 00:16:32.280000,49.922887,49.923087,49.919074,49.92168266666667,103,2265
2023-01-04 00:16:32.300000,49.923054,49.923321,49.926204,49.924193,103,2265
2023-01-04 00:16:32.320000,49.923481,49.923559,49.921675,49.92290499999999,103,2265
2023-01-04 00:16:32.340000,49.925015,49.923907,49.927667,49.92552966666667,103,2265
2023-01-04 00:16:32.360000,49.925006,49.923609,49.926093,49.92490266666667,103,2265
2023-01-04 00:16:32.380000,49.92344,49.922183,49.925046,49.92355633333333,103,2265
2023-01-04 00:16:32.400000,49.923476,49.921209,49.91701,49.920565,103,2265
2023-01-04 00:16:32.420000,49.924334,49.922271,49.920593,49.92239933333334,103,2265
2023-01-04 00:16:32.440000,49.923963,49.923643,49.925685,49.92443033333333,103,2265
2023-01-04 00:16:32.460000,49.922847,49.923941,49.924723,49.923837,103,2265
2023-01-04 00:16:32.480000,49.921515,49.923308,49.928083,49.92430199999999,103,2265
2023-01-04 00:16:32.500000,49.920705,49.922474,49.915398,49.919525666666665,103,2265
2023-01-04 00:16:32.520000,49.921337,49.922458,49.926148,49.92331433333334,103,2265
2023-01-04 00:16:32.540000,49.922614,49.922983,49.91888,49.92149233333333,103,2265
2023-01-04 00:16:32.560000,49.923971,49.923902,49.923685,49.92385266666667,103,2265
2023-01-04 00:16:32.580000,49.923176,49.923337,49.927389,49.924634,103,2265
2023-01-04 00:16:32.600000,49.923293,49.922584,49.91588,49.92058566666666,103,2265
2023-01-04 00:16:32.620000,49.924852,49.923937,49.92775,49.925513,103,2265
2023-01-04 00:16:32.640000,49.923371,49.924854,49.928491,49.92557200000001,103,2265
2023-01-04 00:16:32.660000,49.921695,49.9246,49.919565,49.921953333333335,103,2265
2023-01-04 00:16:32.680000,49.921893,49.924265,49.92431,49.92348933333333,103,2265
2023-01-04 00:16:32.700000,49.921231,49.923061,49.922754,49.922348666666664,103,2265
2023-01-04 00:16:32.720000,49.92131,49.922963,49.92499,49.92308766666667,103,2265
2023-01-04 00:16:32.740000,49.922098,49.923398,49.927815,49.924437000000005,103,2265
2023-01-04 00:16:32.760000,49.922824,49.923228,49.920389,49.922146999999995,103,2265
2023-01-04 00:16:32.780000,49.925003,49.923808,49.920843,49.923218,103,2265
2023-01-04 00:16:32.800000,49.925648,49.924615,49.927213,49.925825333333336,103,2265
2023-01-04 00:16:32.820000,49.924708,49.924908,49.923083,49.924232999999994,103,2265
2023-01-04 00:16:32.840000,49.924626,49.925,49.926,49.92520866666666,103,2265
2023-01-04 00:16:32.860000,49.923481,49.924138,49.921602,49.923073666666674,103,2265
2023-01-04 00:16:32.880000,49.922633,49.923421,49.920528,49.922194,103,2265
2023-01-04 00:16:32.900000,49.922078,49.923343,49.928925,49.924782,103,2265
2023-01-04 00:16:32.920000,49.921648,49.92279,49.921518,49.92198533333333,103,2265
2023-01-04 00:16:32.940000,49.922552,49.922931,49.924463,49.923315333333335,103,2265
2023-01-04 00:16:32.960000,49.924156,49.923634,49.922472,49.923420666666665,103,2265
2023-01-04 00:16:32.980000,49.925391,49.92398,49.925009,49.924793333333334,103,2265
2023-01-04 00:16:33.000000,49.925493,49.924114,49.923741,49.924449333333335,103,2265
2023-01-04 00:16:33.020000,49.924896,49.924202,49.928528,49.92587533333333,103,2265
2023-01-04 00:16:33.040000,49.924206,49.923933,49.924129,49.924089333333335,103,2265
2023-01-04 00:16:33.060000,49.923507,49.923388,49.921296,49.922730333333334,103,2265
2023-01-04 00:16:33.080000,49.922939,49.923423,49.925102,49.923821333333336,103,2265
2023-01-04 00:16:33.100000,49.921271,49.923542,49.926935,49.923916,103,2265
2023-01-04 00:16:33.120000,49.920206,49.923025,49.921556,49.92159566666667,103,2265
2023-01-04 00:16:33.140000,49.921685,49.923424,49.919592,49.921567,103,2265
2023-01-04 00:16:33.160000,49.923991,49.92442,49.926528,49.924979666666665,103,2265
2023-01-04 00:16:33.180000,49.925393,49.924935,49.921176,49.923834666666664,103,2265
2023-01-04 00:16:33.200000,49.926236,49.925127,49.928916,49.92675966666667,103,2265
2023-01-04 00:16:33.220000,49.927183,49.925096,49.922547,49.92494200000001,103,2265
2023-01-04 00:16:33.240000,49.927336,49.924725,49.927204,49.92642166666667,103,2265
2023-01-04 00:16:33.260000,49.926026,49.924327,49.921231,49.92386133333333,103,2265
2023-01-04 00:16:33.280000,49.924006,49.924357,49.924176,49.92417966666667,103,2265
2023-01-04 00:16:33.300000,49.922009,49.924189,49.921787,49.92266166666667,103,2265
2023-01-04 00:16:33.320000,49.920574,49.923149,49.929296,49.92433966666667,103,2265
2023-01-04 00:16:33.340000,49.921536,49.922894,49.912769,49.91906633333334,103,2265
2023-01-04 00:16:33.360000,49.924208,49.924003,49.926157,49.92478933333333,103,2265
2023-01-04 00:16:33.380000,49.924569,49.92456,49.926139,49.92508933333334,103,2265
2023-01-04 00:16:33.400000,49.924427,49.924747,49.924528,49.924567333333336,103,2265
2023-01-04 00:16:33.420000,49.925166,49.925173,49.926288,49.92554233333333,103,2265
2023-01-04 00:16:33.440000,49.924604,49.924553,49.925518,49.92489166666667,103,2265
2023-01-04 00:16:33.460000,49.924642,49.923465,49.917759,49.92195533333333,103,2265
2023-01-04 00:16:33.480000,49.925161,49.92365,49.925694,49.924835,103,2265
2023-01-04 00:16:33.500000,49.92273,49.923667,49.931593,49.92599666666666,103,2265
2023-01-04 00:16:33.520000,49.920269,49.922244,49.917222,49.91991166666667,103,2265
2023-01-04 00:16:33.540000,49.921671,49.922193,49.919786,49.92121666666666,103,2265
2023-01-04 00:16:33.560000,49.923639,49.923341,49.923796,49.923592000000006,103,2265
2023-01-04 00:16:33.580000,49.923935,49.923764,49.92387,49.92385633333333,103,2265
2023-01-04 00:16:33.600000,49.924698,49.923604,49.925963,49.924755,103,2265
2023-01-04 00:16:33.620000,49.925704,49.923677,49.924315,49.924565333333334,103,2265
2023-01-04 00:16:33.640000,49.924412,49.922755,49.928935,49.925367333333334,103,2265
2023-01-04 00:16:33.660000,49.92371,49.921937,49.914667,49.92010466666667,103,2265
2023-01-04 00:16:33.680000,49.924552,49.92252,49.921843,49.92297166666666,103,2265
2023-01-04 00:16:33.700000,49.923333,49.922454,49.923333,49.92303999999999,103,2265
2023-01-04 00:16:33.720000,49.922371,49.92241,49.920797,49.92185933333334,103,2265
2023-01-04 00:16:33.740000,49.92195,49.923405,49.924749,49.923368,103,2265
2023-01-04 00:16:33.760000,49.920981,49.924238,49.924454,49.92322433333334,103,2265
2023-01-04 00:16:33.780000,49.921116,49.924715,49.926944,49.924258333333334,103,2265
2023-01-04 00:16:33.800000,49.921923,49.924445,49.926787,49.924385,103,2265
2023-01-04 00:16:33.820000,49.923199,49.923644,49.917759,49.921534,103,2265
2023-01-04 00:16:33.840000,49.923866,49.923282,49.924768,49.923972,103,2265
2023-01-04 00:16:33.860000,49.922537,49.92246,49.923167,49.922721333333335,103,2265
2023-01-04 00:16:33.880000,49.922189,49.921744,49.921518,49.921817,103,2265
2023-01-04 00:16:33.900000,49.923357,49.92226,49.924491,49.92336933333333,103,2265
2023-01-04 00:16:33.920000,49.923149,49.923205,49.92187,49.922741333333335,103,2265
2023-01-04 00:16:33.940000,49.923069,49.9246,49.921603,49.92309066666667,103,2265
2023-01-04 00:16:33.960000,49.922621,49.925657,49.931629,49.92663566666666,103,2265
2023-01-04 00:16:33.980000,49.920954,49.924795,49.921856,49.922535,103,2265
2023-01-04 00:16:34.000000,49.921398,49.923848,49.920106,49.921784,103,2265
2023-01-04 00:16:34.020000,49.922736,49.923231,49.921667,49.92254466666666,103,2265
2023-01-04 00:16:34.040000,49.922385,49.921903,49.922935,49.922407666666665,103,2265
2023-01-04 00:16:34.060000,49.923395,49.920793,49.918546,49.92091133333333,103,2265
2023-01-04 00:16:34.080000,49.924819,49.921396,49.920277,49.922164,103,2265
2023-01-04 00:16:34.100000,49.923407,49.92227,49.925167,49.92361466666667,103,2265
2023-01-04 00:16:34.120000,49.922772,49.923071,49.919686,49.921843,103,2265
2023-01-04 00:16:34.140000,49.923439,49.923359,49.9245,49.923766,103,2265
2023-01-04 00:16:34.160000,49.921939,49.92275,49.92669,49.923792999999996,103,2265
2023-01-04 00:16:34.180000,49.920982,49.921952,49.91607,49.919668,103,2265
2023-01-04 00:16:34.200000,49.921333,49.922145,49.929176,49.924217999999996,103,2265
2023-01-04 00:16:34.220000,49.919848,49.921528,49.924185,49.921853666666664,103,2265
2023-01-04 00:16:34.240000,49.920236,49.920823,49.915583,49.91888066666667,103,2265
2023-01-04 00:16:34.260000,49.924162,49.922074,49.923676,49.923304,103,2265
2023-01-04 00:16:34.280000,49.925964,49.923172,49.929051,49.926062333333334,103,2265
2023-01-04 00:16:34.300000,49.924825,49.922301,49.920708,49.92261133333333,103,2265
2023-01-04 00:16:34.320000,49.924023,49.921345,49.917333,49.92090033333333,103,2265
2023-01-04 00:16:34.340000,49.923726,49.921879,49.920607,49.92207066666666,103,2265
2023-01-04 00:16:34.360000,49.923375,49.923458,49.921458,49.92276366666667,103,2265
2023-01-04 00:16:34.380000,49.92099,49.92294,49.932,49.92531,103,2265
2023-01-04 00:16:34.400000,49.918163,49.920328,49.917176,49.91855566666667,103,2265
2023-01-04 00:16:34.420000,49.919788,49.920047,49.91575,49.918528333333335,103,2265
2023-01-04 00:16:34.440000,49.923032,49.921431,49.920972,49.92181166666666,103,2265
2023-01-04 00:16:34.460000,49.923609,49.921891,49.921806,49.92243533333333,103,2265
2023-01-04 00:16:34.480000,49.92374,49.922269,49.923898,49.92330233333334,103,2265
2023-01-04 00:16:34.500000,49.924052,49.922237,49.927481,49.92459,103,2265
2023-01-04 00:16:34.520000,49.923797,49.921929,49.920963,49.92222966666666,103,2265
2023-01-04 00:16:34.540000,49.923189,49.921825,49.921204,49.92207266666666,103,2265
2023-01-04 00:16:34.560000,49.92192,49.921547,49.921843,49.92177,103,2265
2023-01-04 00:16:34.580000,49.920598,49.921572,49.921251,49.921140333333334,103,2265
2023-01-04 00:16:34.600000,49.920144,49.922066,49.922499,49.92156966666666,103,2265
2023-01-04 00:16:34.620000,49.92063,49.92248,49.922194,49.92176799999999,103,2265
2023-01-04 00:16:34.640000,49.920963,49.922748,49.922954,49.922221666666665,103,2265
2023-01-04 00:16:34.660000,49.921773,49.922889,49.919815,49.92149233333333,103,2265
2023-01-04 00:16:34.680000,49.922649,49.922602,49.929305,49.924851999999994,103,2265
2023-01-04 00:16:34.700000,49.92224,49.921354,49.918768,49.92078733333333,103,2265
2023-01-04 00:16:34.720000,49.922967,49.920178,49.918185,49.92044333333333,103,2265
2023-01-04 00:16:34.740000,49.924893,49.92057,49.914871,49.92011133333333,103,2265
2023-01-04 00:16:34.760000,49.925235,49.922355,49.925972,49.924520666666666,103,2265
2023-01-04 00:16:34.780000,49.924347,49.923804,49.923315,49.923822,103,2265
2023-01-04 00:16:34.800000,49.922186,49.924093,49.92751,49.92459633333334,103,2265
2023-01-04 00:16:34.820000,49.919251,49.923246,49.920703,49.92106666666667,103,2265
2023-01-04 00:16:34.840000,49.918574,49.921835,49.918907,49.919771999999995,103,2265
2023-01-04 00:16:34.860000,49.920713,49.92147,49.922194,49.921459,103,2265
2023-01-04 00:16:34.880000,49.923083,49.92219,49.924713,49.92332866666666,103,2265
2023-01-04 00:16:34.900000,49.924098,49.922152,49.924102,49.92345066666667,103,2265
2023-01-04 00:16:34.920000,49.923949,49.921413,49.920342,49.92190133333333,103,2265
2023-01-04 00:16:34.940000,49.923576,49.921285,49.914648,49.91983633333333,103,2265
2023-01-04 00:16:34.960000,49.923162,49.921651,49.925834,49.923549,103,2265
2023-01-04 00:16:34.980000,49.922645,49.922163,49.924731,49.92317966666667,103,2265
2023-01-04 00:16:35.000000,49.921367,49.922609,49.925139,49.92303833333333,103,2265
2023-01-04 00:16:35.020000,49.919036,49.92207,49.920648,49.92058466666666,103,2265
2023-01-04 00:16:35.040000,49.918208,49.921393,49.919033,49.91954466666667,103,2265
2023-01-04 00:16:35.060000,49.919921,49.921705,49.921551,49.92105900000001,103,2265
2023-01-04 00:16:35.080000,49.921685,49.922063,49.920963,49.921570333333335,103,2265
2023-01-04 00:16:35.100000,49.922894,49.92199,49.921092,49.92199200000001,103,2265
2023-01-04 00:16:35.120000,49.923931,49.921467,49.925292,49.923563333333334,103,2265
2023-01-04 00:16:35.140000,49.924176,49.920769,49.915968,49.92030433333333,103,2265
2023-01-04 00:16:35.160000,49.923831,49.920949,49.919032,49.921270666666665,103,2265
2023-01-04 00:16:35.180000,49.922643,49.922132,49.921103,49.92195933333333,103,2265
2023-01-04 00:16:35.200000,49.920764,49.923057,49.922379,49.922066666666666,103,2265
2023-01-04 00:16:35.220000,49.919306,49.923273,49.925278,49.922619,103,2265
2023-01-04 00:16:35.240000,49.919029,49.92305,49.92,49.92069300000001,103,2265
2023-01-04 00:16:35.260000,49.919362,49.922615,49.927347,49.92310799999999,103,2265
2023-01-04 00:16:35.280000,49.91944,49.921163,49.922769,49.921124,103,2265
2023-01-04 00:16:35.300000,49.920366,49.919828,49.918467,49.919553666666665,103,2265
2023-01-04 00:16:35.320000,49.922618,49.919792,49.918625,49.920345,103,2265
2023-01-04 00:16:35.340000,49.925199,49.920884,49.919148,49.921743666666664,103,2265
2023-01-04 00:16:35.360000,49.926779,49.923416,49.925977,49.92539066666668,103,2265
2023-01-04 00:16:35.380000,49.924246,49.924419,49.930727,49.926464,103,2265
2023-01-04 00:16:35.400000,49.919857,49.92246,49.921106,49.921141000000006,103,2265
2023-01-04 00:16:35.420000,49.918648,49.921217,49.913869,49.917911333333336,103,2265
2023-01-04 00:16:35.440000,49.919305,49.921713,49.921825,49.920947666666656,103,2265
