Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CL_Santiago_USACH,CIO,Potencia,Inicio
2023-01-08 11:00:31.140000,49.851319,49.850639,49.851603,49.852093,49.8514135,101,2040
2023-01-08 11:00:31.160000,49.850769,49.850643,49.850889,49.850732,49.85075825,101,2040
2023-01-08 11:00:31.180000,49.850885,49.850333,49.849926,49.851454,49.850649499999996,101,2040
2023-01-08 11:00:31.200000,49.851039,49.849435,49.850075,49.849898,49.850111749999996,101,2040
2023-01-08 11:00:31.220000,49.851117,49.849546,49.851014,49.84901,49.850171749999994,101,2040
2023-01-08 11:00:31.240000,49.850385,49.850819,49.851071,49.849158,49.85035825,101,2040
2023-01-08 11:00:31.260000,49.849571,49.85139,49.850065,49.850342,49.850342,101,2040
2023-01-08 11:00:31.280000,49.84962,49.850903,49.848979,49.84874,49.8495605,101,2040
2023-01-08 11:00:31.300000,49.849241,49.850448,49.848944,49.850945,49.8498945,101,2040
2023-01-08 11:00:31.320000,49.84877,49.850523,49.849866,49.850139,49.8498245,101,2040
2023-01-08 11:00:31.340000,49.849198,49.850866,49.850245,49.849861,49.8500425,101,2040
2023-01-08 11:00:31.360000,49.850143,49.85131,49.849375,49.849398,49.8500565,101,2040
2023-01-08 11:00:31.380000,49.850204,49.851361,49.848565,49.849667,49.849949249999995,101,2040
2023-01-08 11:00:31.400000,49.848696,49.851365,49.848733,49.848259,49.84926325000001,101,2040
2023-01-08 11:00:31.420000,49.847695,49.851887,49.849227,49.848371,49.849295,101,2040
2023-01-08 11:00:31.440000,49.847843,49.852138,49.849254,49.848333,49.849392,101,2040
2023-01-08 11:00:31.460000,49.848411,49.851421,49.848174,49.848583,49.849147249999994,101,2040
2023-01-08 11:00:31.480000,49.848606,49.850039,49.847176,49.850991,49.849202999999996,101,2040
2023-01-08 11:00:31.500000,49.848176,49.848966,49.847567,49.848778,49.848371750000005,101,2040
2023-01-08 11:00:31.520000,49.848143,49.849127,49.848702,49.850092,49.849016,101,2040
2023-01-08 11:00:31.540000,49.848264,49.849323,49.849242,49.848732,49.84889025,101,2040
2023-01-08 11:00:31.560000,49.848145,49.849475,49.848466,49.848101,49.84854675,101,2040
2023-01-08 11:00:31.580000,49.847787,49.84989,49.847204,49.847324,49.84805125,101,2040
2023-01-08 11:00:31.600000,49.847669,49.850221,49.847191,49.846694,49.84794375,101,2040
2023-01-08 11:00:31.620000,49.847704,49.85128,49.848072,49.848732,49.848946999999995,101,2040
2023-01-08 11:00:31.640000,49.847839,49.852356,49.848426,49.84837,49.84924775,101,2040
2023-01-08 11:00:31.660000,49.847653,49.850894,49.848095,49.849176,49.8489545,101,2040
2023-01-08 11:00:31.680000,49.84781,49.848867,49.847755,49.848898,49.8483325,101,2040
2023-01-08 11:00:31.700000,49.848079,49.849243,49.848111,49.851074,49.849126749999996,101,2040
